"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","","","","","","","","","","","","","","","",""
"instructions","1","1746","0.0-1.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","[{""page_index"":0,""viewing_time"":1744}]","1744","","","","","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","","blur","2","3006","blurevent","1","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","","focus","2","7596","focusevent","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","","fullscreenenter","2","8486","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","9473","0.0-2.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","","","","","","","true","","","","","","","","",""
"instructions","3","32258","0.0-4.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","[{""page_index"":0,""viewing_time"":6248},{""page_index"":1,""viewing_time"":10240},{""page_index"":2,""viewing_time"":6296}]","22784","","","","","","","","","","","","","","",""
"image-keyboard-response","4","44003","0.0-5.0-0.0-0.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","11743","","","","blurwarn","1","","","49","","","","","","",""
"html-keyboard-response","5","44755","0.0-5.0-1.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","47858","0.0-5.0-2.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","3103","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6","THEN"
"html-keyboard-response","7","48110","0.0-5.0-3.0","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6",""
"html-keyboard-response","8","48611","0.0-5.0-1.1","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","49786","0.0-5.0-2.1","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","1175","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","THEN"
"html-keyboard-response","10","50037","0.0-5.0-3.1","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3",""
"html-keyboard-response","11","50538","0.0-5.0-1.2","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","51666","0.0-5.0-2.2","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","1127","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$22<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12","NOW"
"html-keyboard-response","13","51917","0.0-5.0-3.2","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12",""
"html-keyboard-response","14","52419","0.0-5.0-1.3","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","15","54882","0.0-5.0-2.3","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","2463","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6","NOW"
"html-keyboard-response","16","55134","0.0-5.0-3.3","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$69<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6",""
"html-keyboard-response","17","55635","0.0-5.0-1.4","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","18","56890","0.0-5.0-2.4","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","1255","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6","NOW"
"html-keyboard-response","19","57141","0.0-5.0-3.4","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$19<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6",""
"html-keyboard-response","20","57643","0.0-5.0-1.5","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","21","58626","0.0-5.0-2.5","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","983","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br><br>now","$50<br>in<br>3 weeks","0","27","50","3","THEN"
"html-keyboard-response","22","58878","0.0-5.0-3.5","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br><br>now","$50<br>in<br>3 weeks","0","27","50","3",""
"html-keyboard-response","23","59380","0.0-5.0-1.6","571144323d47e800096358d9","bdp_td","Sun Mar 26 2023 14:56:56 GMT-0400 (Eastern Daylight Time)","100072","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
