"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","","","","","","","","","","","","","","","",""
"","","","","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","pavlovia","0","7","0.0-0.0","","","","","","","","","","","",""
"","","","","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","instructions","1","6342","0.0-1.0","[{""page_index"":0,""viewing_time"":6332}]","6333","","","","","","","","","",""
"fullscreenenter","2","9674","fullscreenenter","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","","","","","","","","","","","","","","","",""
"","","","","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","fullscreen","2","10633","0.0-2.0","","","true","","","","","","","","",""
"","","","","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","instructions","3","20825","0.0-4.0","[{""page_index"":0,""viewing_time"":3995},{""page_index"":1,""viewing_time"":3888},{""page_index"":2,""viewing_time"":2306}]","10190","","","","","","","","","",""
"","","","FIX","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","html-keyboard-response","4","21328","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","html-keyboard-response","5","25467","0.0-5.0-2.0","","4136","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","NOW"
"","","","offerFB","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","html-keyboard-response","6","25728","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"","","","FIX","6400d9235287137e7b62fd29","bdp_td","Sun Apr 09 2023 16:40:19 GMT-0700 (Pacific Daylight Time)","92658","html-keyboard-response","7","26235","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
