"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","3","0.0-0.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","","","","","","","","","","","","","",""
"","","","","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","blur","1","2726","blurevent","1","","","","","","","","","","","",""
"","","","","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","focus","1","28196","focusevent","","","","","","","","","","","","",""
"","","","","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","blur","1","39544","blurevent","","","","","","","","","","","","",""
"","","","","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","focus","1","46023","focusevent","","","","","","","","","","","","",""
"instructions","1","47186","0.0-1.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","","","[{""page_index"":0,""viewing_time"":47182}]","47182","","","","","","","","","",""
"","","","","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","fullscreenenter","2","48581","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","49573","0.0-2.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","","","","","true","","","","","","","","",""
"instructions","3","102615","0.0-4.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","","","[{""page_index"":0,""viewing_time"":11010},{""page_index"":1,""viewing_time"":17014},{""page_index"":2,""viewing_time"":25017}]","53041","","","","","","","","","",""
"image-keyboard-response","4","111999","0.0-5.0-0.0-0.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","blurwarn","1","","9381","","","49","","","","","","",""
"html-keyboard-response","5","112762","0.0-5.0-1.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","115152","0.0-5.0-2.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","offer","","","2389","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW"
"html-keyboard-response","7","115412","0.0-5.0-3.0","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","offer","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12",""
"html-keyboard-response","8","115922","0.0-5.0-1.1","taskTesting","bdp_td","Sat Jan 28 2023 15:27:56 GMT-0500 (Eastern Standard Time)","197694","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
