"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","instructions","1","1391","0.0-1.0","[{""page_index"":0,""viewing_time"":1386}]","1387","","","","","","","","","","",""
"blur","2","3901","blurevent","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","","","","","","","1","","","","","","","","","",""
"focus","2","3913","focusevent","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","3921","fullscreenexit","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","fullscreen","2","4696","0.0-2.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","image-keyboard-response","3","5621","0.0-3.0-0.0","","918","","","","32","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","instructions","4","24074","0.0-4.0","[{""page_index"":0,""viewing_time"":6385},{""page_index"":1,""viewing_time"":10258},{""page_index"":2,""viewing_time"":1554}]","18197","","","","","","","","","","",""
"","","","blurwarn","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","image-keyboard-response","5","25557","0.0-5.0-0.0-0.0","","1479","1","","","49","","","","","","",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","6","26321","0.0-5.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","7","28033","0.0-5.0-2.0","","1706","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","8","28291","0.0-5.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","9","28799","0.0-5.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","10","29943","0.0-5.0-2.1","","1141","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br><br>now","$30<br>in<br>2 weeks","0","11","30","2","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","11","30202","0.0-5.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br><br>now","$30<br>in<br>2 weeks","0","11","30","2",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","12","30708","0.0-5.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","13","32194","0.0-5.0-2.2","","1483","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","14","32452","0.0-5.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","15","32955","0.0-5.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","16","34083","0.0-5.0-2.3","","1126","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","17","34341","0.0-5.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","18","34845","0.0-5.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","19","36063","0.0-5.0-2.4","","1215","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6","NOW"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","20","36321","0.0-5.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","21","36826","0.0-5.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","22","39573","0.0-5.0-2.5","","2746","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","NOW"
