"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","","","","","","","","","","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","pavlovia","0","2","0.0-0.0","","","","","","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","instructions","1","883","0.0-1.0","[{""page_index"":0,""viewing_time"":881}]","881","","","","","","","","","",""
"fullscreenexit","2","7188","fullscreenexit","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","","","","","","","","","","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","fullscreen","2","7962","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","image-keyboard-response","3","14235","0.0-3.0-0.0","","6268","","","32","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","instructions","4","55176","0.0-4.0","[{""page_index"":0,""viewing_time"":33078},{""page_index"":1,""viewing_time"":3943},{""page_index"":2,""viewing_time"":3668}]","40689","","","","","","","","","",""
"","","","FIX","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","html-keyboard-response","5","55676","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","html-keyboard-response","6","58864","0.0-5.0-2.0","","3187","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6","NOW"
"","","","offerFB","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","html-keyboard-response","7","59115","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$49<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6",""
"","","","FIX","6162341a644c08d5cca4b7bb","bdp_td","Fri Mar 24 2023 20:09:54 GMT-0400 (Eastern Daylight Time)","167591","html-keyboard-response","8","59615","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
