"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","success","stimulus","key_press","trialtype","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","7","0.0-0.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","","","","","","","","","","","",""
"instructions","1","3234","0.0-1.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","[{""page_index"":0,""viewing_time"":3227}]","3227","","","","","","","","","","",""
"fullscreen","2","6010","0.0-2.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","","true","","","","","","","","","",""
"image-keyboard-response","3","7950","0.0-3.0-0.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1938","","","32","fullscreenfail","","","","","","",""
"instructions","4","18818","0.0-4.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","[{""page_index"":0,""viewing_time"":4902},{""page_index"":1,""viewing_time"":4692},{""page_index"":2,""viewing_time"":1022}]","10617","","","","","","","","","","",""
"html-keyboard-response","5","19320","0.0-5.0-1.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","6","21792","0.0-5.0-2.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","2469","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6","THEN"
"html-keyboard-response","7","22045","0.0-5.0-3.0","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6",""
"html-keyboard-response","8","22548","0.0-5.0-1.1","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","9","23390","0.0-5.0-2.1","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","840","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$15<br><br>now","$35<br>in<br>2 weeks","0","15","35","2","THEN"
"html-keyboard-response","10","23643","0.0-5.0-3.1","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$15<br><br>now","$35<br>in<br>2 weeks","0","15","35","2",""
"html-keyboard-response","11","24146","0.0-5.0-1.2","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","12","25403","0.0-5.0-2.2","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1256","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3","THEN"
"html-keyboard-response","13","25656","0.0-5.0-3.2","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3",""
"html-keyboard-response","14","26157","0.0-5.0-1.3","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","15","28166","0.0-5.0-2.3","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","2006","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$78<br><br>now","$80<br>in<br>12 weeks","0","78","80","12","NOW"
"html-keyboard-response","16","28419","0.0-5.0-3.3","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$78<br><br>now","$80<br>in<br>12 weeks","0","78","80","12",""
"html-keyboard-response","17","28921","0.0-5.0-1.4","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","18","30955","0.0-5.0-2.4","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","2032","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3","THEN"
"html-keyboard-response","19","31208","0.0-5.0-3.4","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3",""
"html-keyboard-response","20","31710","0.0-5.0-1.5","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","21","34011","0.0-5.0-2.5","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","2299","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","NOW"
"html-keyboard-response","22","34265","0.0-5.0-3.5","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"html-keyboard-response","23","34766","0.0-5.0-1.6","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","24","36813","0.0-5.0-2.6","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","2044","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$40<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6","THEN"
"html-keyboard-response","25","37066","0.0-5.0-3.6","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$40<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6",""
"html-keyboard-response","26","37567","0.0-5.0-1.7","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
