"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","","","","","","","","","","","","","","","",""
"","","","","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","pavlovia","0","4","0.0-0.0","","","","","","","","","","","",""
"","","","","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","instructions","1","3050","0.0-1.0","[{""page_index"":0,""viewing_time"":3045}]","3045","","","","","","","","","",""
"fullscreenexit","2","4779","fullscreenexit","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","","","","","","","","","","","","","","","",""
"","","","","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","fullscreen","2","5533","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","image-keyboard-response","3","7188","0.0-3.0-0.0","","1653","","","32","","","","","","",""
"","","","","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","instructions","4","44336","0.0-4.0","[{""page_index"":0,""viewing_time"":8847},{""page_index"":1,""viewing_time"":19200},{""page_index"":2,""viewing_time"":8850}]","36897","","","","","","","","","",""
"","","","FIX","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","html-keyboard-response","5","44840","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","html-keyboard-response","6","47374","0.0-5.0-2.0","","2533","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$22<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12","NOW"
"","","","offerFB","6400f1783058946c2b4780cd","bdp_td","Wed Mar 29 2023 10:21:20 GMT-0500 (Central Daylight Time)","151160","html-keyboard-response","7","47640","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12",""
