"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","8","0.0-0.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","","","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","blur","1","2029","blurevent","1","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","focus","1","3380","focusevent","","","","","","","","","","","","",""
"instructions","1","5130","0.0-1.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","","","[{""page_index"":0,""viewing_time"":5121}]","5122","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","fullscreenenter","2","6918","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","7903","0.0-2.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","","","","","true","","","","","","","","",""
"instructions","3","32418","0.0-4.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","","","[{""page_index"":0,""viewing_time"":21703},{""page_index"":1,""viewing_time"":2108},{""page_index"":2,""viewing_time"":701}]","24512","","","","","","","","","",""
"image-keyboard-response","4","35199","0.0-5.0-0.0-0.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","blurwarn","1","","2774","","","49","","","","","","",""
"html-keyboard-response","5","35953","0.0-5.0-1.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","37283","0.0-5.0-2.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","offer","","","1324","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6","NOW"
"html-keyboard-response","7","37537","0.0-5.0-3.0","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$69<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6",""
"html-keyboard-response","8","38039","0.0-5.0-1.1","5f932e6a3ceaf50d5768745b","bdp_td","Mon Mar 27 2023 13:42:35 GMT-0400 (Eastern Daylight Time)","87432","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
