"event","trial","time","trialtype","subject_id","task","startTime","totalTime","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","1","","","","","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","pavlovia","0","4","0.0-0.0","","","","","","","","","","","",""
"focus","1","1750","focusevent","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","","","","","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","instructions","1","3462","0.0-1.0","[{""page_index"":0,""viewing_time"":3457}]","3457","","","","","","","","","",""
"fullscreenexit","2","5975","fullscreenexit","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","","","","","","","","","","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","fullscreen","2","6770","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","image-keyboard-response","3","8378","0.0-3.0-0.0","","1606","","","32","","","","","","",""
"","","","","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","instructions","4","79241","0.0-4.0","[{""page_index"":0,""viewing_time"":31032},{""page_index"":1,""viewing_time"":20511},{""page_index"":2,""viewing_time"":12179},{""page_index"":1,""viewing_time"":3585},{""page_index"":0,""viewing_time"":920},{""page_index"":1,""viewing_time"":360},{""page_index"":2,""viewing_time"":2024}]","70611","","","","","","","","","",""
"","","","blurwarn","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","1","image-keyboard-response","5","95445","0.0-5.0-0.0-0.0","","16200","","","49","","","","","","",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","6","96217","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","7","100968","0.0-5.0-2.0","","4746","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","NOW"
