"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","","","","","","","","","","","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","pavlovia","0","1","0.0-0.0","","","","","","","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","instructions","1","1868","0.0-1.0","[{""page_index"":0,""viewing_time"":1866}]","1866","","","","","","","","","",""
"fullscreenexit","2","4130","fullscreenexit","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","","","","","","","","","","","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","fullscreen","2","5122","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","image-keyboard-response","3","6249","0.0-3.0-0.0","","1126","","","32","","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","instructions","4","53360","0.0-4.0","[{""page_index"":0,""viewing_time"":11356},{""page_index"":1,""viewing_time"":25296},{""page_index"":2,""viewing_time"":10208}]","46860","","","","","","","","","",""
"","","","FIX","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","html-keyboard-response","5","53861","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","html-keyboard-response","6","56308","0.0-5.0-2.0","","2445","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1","THEN"
"","","","offerFB","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","html-keyboard-response","7","56559","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1",""
"","","","FIX","6320e37620d067c7d322246a","bdp_td","Mon Apr 10 2023 21:25:29 GMT-0400 (Eastern Daylight Time)","142311","html-keyboard-response","8","57060","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
