"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","pavlovia","0","4","0.0-0.0","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","instructions","1","11440","0.0-1.0","[{""page_index"":0,""viewing_time"":11436}]","11436","","","","","","","","","",""
"fullscreenexit","2","15640","fullscreenexit","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","fullscreen","2","16435","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","image-keyboard-response","3","18194","0.0-3.0-0.0","","1757","","","32","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","instructions","4","38768","0.0-4.0","[{""page_index"":0,""viewing_time"":8432},{""page_index"":1,""viewing_time"":6527},{""page_index"":2,""viewing_time"":5360}]","20319","","","","","","","","","",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","html-keyboard-response","5","39270","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","html-keyboard-response","6","43616","0.0-5.0-2.0","","4345","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3","THEN"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","html-keyboard-response","7","43880","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_td","Sun Apr 09 2023 16:49:54 GMT-0700 (Pacific Daylight Time)","124386","html-keyboard-response","8","44384","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
