"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","","","","","","","","","","","","","","","",""
"","","","","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","pavlovia","0","2","0.0-0.0","","","","","","","","","","","",""
"","","","","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","instructions","1","2738","0.0-1.0","[{""page_index"":0,""viewing_time"":2735}]","2735","","","","","","","","","",""
"fullscreenexit","2","5570","fullscreenexit","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","","","","","","","","","","","","","","","",""
"","","","","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","fullscreen","2","6358","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","image-keyboard-response","3","8661","0.0-3.0-0.0","","2302","","","32","","","","","","",""
"","","","","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","instructions","4","40373","0.0-4.0","[{""page_index"":0,""viewing_time"":7957},{""page_index"":1,""viewing_time"":17279},{""page_index"":2,""viewing_time"":6224}]","31460","","","","","","","","","",""
"","","","FIX","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","html-keyboard-response","5","40888","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","html-keyboard-response","6","45376","0.0-5.0-2.0","","4485","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12","NOW"
"","","","offerFB","63f969ceb2a0b028aa612b33","bdp_td","Sat Mar 25 2023 20:22:47 GMT-0400 (Eastern Daylight Time)","121882","html-keyboard-response","7","45632","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$78<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12",""
