"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"blur","0","0","blurevent","1","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","","","","","","","","","","","","","","","",""
"","","","","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","pavlovia","0","3","0.0-0.0","","","","","","","","","","","",""
"","","","","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","instructions","1","2193","0.0-1.0","[{""page_index"":0,""viewing_time"":2188}]","2188","","","","","","","","","",""
"fullscreenenter","2","3290","fullscreenenter","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","","","","","","","","","","","","","","","",""
"","","","","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","fullscreen","2","4281","0.0-2.0","","","true","","","","","","","","",""
"","","","","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","instructions","3","32192","0.0-4.0","[{""page_index"":0,""viewing_time"":9817},{""page_index"":1,""viewing_time"":10442},{""page_index"":2,""viewing_time"":7649}]","27908","","","","","","","","","",""
"","","","blurwarn","1","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","image-keyboard-response","4","47831","0.0-5.0-0.0-0.0","","15636","","","49","","","","","","",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","5","48595","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","6","58654","0.0-5.0-2.0","","10056","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6","NOW"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","7","58913","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","8","59420","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","9","64513","0.0-5.0-2.1","","5091","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12","NOW"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","10","64771","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","11","65281","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","12","68991","0.0-5.0-2.2","","3709","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6","NOW"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","13","69252","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$49<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","14","69765","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","15","73434","0.0-5.0-2.3","","3667","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","THEN"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","16","73688","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","17","74193","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","18","76843","0.0-5.0-2.4","","2648","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6","NOW"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","19","77101","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","20","77613","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","21","80195","0.0-5.0-2.5","","2581","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3","NOW"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","22","80449","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","23","80953","0.0-5.0-1.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","24","83503","0.0-5.0-2.6","","2549","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3","THEN"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","25","83760","0.0-5.0-3.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","26","84267","0.0-5.0-1.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","27","89061","0.0-5.0-2.7","","4792","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$22<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12","NOW"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","28","89320","0.0-5.0-3.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","29","89824","0.0-5.0-1.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","30","94428","0.0-5.0-2.8","","4602","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3","THEN"
"","","","offer","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","31","94688","0.0-5.0-3.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3",""
"","","","FIX","","sconelab3","bdp_td","Wed Feb 22 2023 13:13:02 GMT-0500 (Eastern Standard Time)","169835","html-keyboard-response","32","95193","0.0-5.0-1.9","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
