"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","15","0.0-0.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","","","","","","","","","","","","","","",""
"instructions","1","1615","0.0-1.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","[{""page_index"":0,""viewing_time"":1597}]","1598","","","","","","","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","fullscreenenter","2","6173","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","7166","0.0-2.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","","","","","true","","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","fullscreenexit","3","13055","fullscreenexit","","","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","blur","3","18497","blurevent","","1","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","focus","3","95284","focusevent","","","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","blur","3","165142","blurevent","","","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","","focus","3","172569","focusevent","","","","","","","","","","",""
"instructions","3","253305","0.0-4.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","[{""page_index"":0,""viewing_time"":140159},{""page_index"":1,""viewing_time"":80994},{""page_index"":2,""viewing_time"":24977}]","246131","","","","","","","","","","","","","","",""
"image-keyboard-response","4","268109","0.0-5.0-0.0-0.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","14797","","","","blurwarn","","1","","49","","","","","","",""
"html-keyboard-response","5","268867","0.0-5.0-1.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","274944","0.0-5.0-2.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","6068","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","NOW"
"html-keyboard-response","7","275202","0.0-5.0-3.0","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12",""
"html-keyboard-response","8","275708","0.0-5.0-1.1","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","278777","0.0-5.0-2.1","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","3066","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6","NOW"
"html-keyboard-response","10","279034","0.0-5.0-3.1","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$49<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6",""
"html-keyboard-response","11","279539","0.0-5.0-1.2","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","280772","0.0-5.0-2.2","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","1228","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1","NOW"
"html-keyboard-response","13","281029","0.0-5.0-3.2","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$20<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1",""
"html-keyboard-response","14","281536","0.0-5.0-1.3","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","15","282961","0.0-5.0-2.3","5f514708067fba172909261a","bdp_td","Sat Mar 25 2023 19:22:53 GMT-0400 (Eastern Daylight Time)","367810","","1418","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","NOW"
