"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","","","","","","","","","","","","","","","",""
"","","","","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","pavlovia","0","3","0.0-0.0","","","","","","","","","","","",""
"","","","","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","instructions","1","2975","0.0-1.0","[{""page_index"":0,""viewing_time"":2970}]","2970","","","","","","","","","",""
"fullscreenexit","2","6165","fullscreenexit","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","","","","","","","","","","","","","","","",""
"","","","","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","fullscreen","2","6956","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","image-keyboard-response","3","8974","0.0-3.0-0.0","","2015","","","32","","","","","","",""
"","","","","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","instructions","4","87542","0.0-4.0","[{""page_index"":0,""viewing_time"":58823},{""page_index"":1,""viewing_time"":15767},{""page_index"":2,""viewing_time"":3720}]","78310","","","","","","","","","",""
"","","","FIX","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","html-keyboard-response","5","88053","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","html-keyboard-response","6","89901","0.0-5.0-2.0","","1846","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12","NOW"
"","","","offerFB","63d9f31dba727de153019798","bdp_td","Sun Apr 09 2023 18:59:35 GMT-0400 (Eastern Daylight Time)","166446","html-keyboard-response","7","90159","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12",""
