"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen","numBlurs"
"pavlovia","0","5","0.0-0.0","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","","","","","","","","","","","","","","","",""
"instructions","1","2438","0.0-1.0","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","[{""page_index"":0,""viewing_time"":2431}]","2431","","","","","","","","","","","","","","",""
"","","","","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","","fullscreenenter","2","4580","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","5525","0.0-2.0","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","","","","","","true","","","","","","","","","",""
"instructions","3","52279","0.0-4.0","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","[{""page_index"":0,""viewing_time"":20189},{""page_index"":1,""viewing_time"":6922},{""page_index"":2,""viewing_time"":3917},{""page_index"":1,""viewing_time"":13503},{""page_index"":2,""viewing_time"":2222}]","46753","","","","","","","","","","","","","","",""
"html-keyboard-response","4","52783","0.0-5.0-1.0","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","5","55392","0.0-5.0-2.0","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","2608","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","THEN",""
"html-keyboard-response","6","55645","0.0-5.0-3.0","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","",""
"html-keyboard-response","7","56146","0.0-5.0-1.1","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","8","58353","0.0-5.0-2.1","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","2206","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","NOW",""
"html-keyboard-response","9","58606","0.0-5.0-3.1","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","",""
"html-keyboard-response","10","59108","0.0-5.0-1.2","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","11","60638","0.0-5.0-2.2","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","1528","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12","THEN",""
"html-keyboard-response","12","60891","0.0-5.0-3.2","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12","",""
"html-keyboard-response","13","61393","0.0-5.0-1.3","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","14","62627","0.0-5.0-2.3","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","1232","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6","THEN",""
"html-keyboard-response","15","62879","0.0-5.0-3.3","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6","",""
"html-keyboard-response","16","63381","0.0-5.0-1.4","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","17","65250","0.0-5.0-2.4","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","1868","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW",""
"html-keyboard-response","18","65503","0.0-5.0-3.4","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","",""
"html-keyboard-response","19","66005","0.0-5.0-1.5","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","20","67246","0.0-5.0-2.5","631bc422eec20143118ad66b","bdp_td","Mon Mar 27 2023 12:52:04 GMT-0400 (Eastern Daylight Time)","105471","","1239","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br><br>now","$30<br>in<br>2 weeks","0","11","30","2","THEN",""
