"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","pavlovia","0","11","0.0-0.0","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","instructions","1","1972","0.0-1.0","[{""page_index"":0,""viewing_time"":1958}]","1959","","","","","","","","","",""
"fullscreenexit","2","4198","fullscreenexit","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","fullscreen","2","5186","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","image-keyboard-response","3","6538","0.0-3.0-0.0","","1349","","","32","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","instructions","4","27335","0.0-4.0","[{""page_index"":0,""viewing_time"":10626},{""page_index"":1,""viewing_time"":7559},{""page_index"":2,""viewing_time"":2360}]","20546","","","","","","","","","",""
"","","","FIX","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","html-keyboard-response","5","27839","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","html-keyboard-response","6","32975","0.0-5.0-2.0","","5135","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","1","34","50","6","NOW"
"","","","offerFB","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","html-keyboard-response","7","33230","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","1","34","50","6",""
"","","","FIX","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","html-keyboard-response","8","33732","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","html-keyboard-response","9","36950","0.0-5.0-2.1","","3216","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6","NOW"
"","","","offerFB","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","html-keyboard-response","10","37205","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6",""
"","","","FIX","612fbc37af2136fe81fc71a9","bdp_td","Wed Mar 29 2023 09:32:04 GMT-0700 (Pacific Daylight Time)","111720","html-keyboard-response","11","37710","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
