"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","","","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","pavlovia","0","8","0.0-0.0","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","instructions","1","1498","0.0-1.0","[{""page_index"":0,""viewing_time"":1488}]","1489","","","","","","","","","",""
"fullscreenexit","2","5767","fullscreenexit","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","","","","","","","","","","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","fullscreen","2","6554","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","image-keyboard-response","3","9907","0.0-3.0-0.0","","3350","","","32","","","","","","",""
"","","","","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","instructions","4","30156","0.0-4.0","[{""page_index"":0,""viewing_time"":10706},{""page_index"":1,""viewing_time"":6679},{""page_index"":2,""viewing_time"":2609}]","19995","","","","","","","","","",""
"","","","FIX","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","html-keyboard-response","5","30671","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","html-keyboard-response","6","34715","0.0-5.0-2.0","","4039","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW"
"","","","offerFB","632aaef27780d596dc7e0a9f","bdp_td","Wed Mar 29 2023 14:57:07 GMT-0500 (Central Daylight Time)","120465","html-keyboard-response","7","34977","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12",""
