"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","pavlovia","0","1","0.0-0.0","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","instructions","1","1930","0.0-1.0","[{""page_index"":0,""viewing_time"":1928}]","1928","","","","","","","","","",""
"fullscreenexit","2","5198","fullscreenexit","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","fullscreen","2","6020","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","image-keyboard-response","3","7234","0.0-3.0-0.0","","1214","","","32","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","instructions","4","40982","0.0-4.0","[{""page_index"":0,""viewing_time"":26427},{""page_index"":1,""viewing_time"":4773},{""page_index"":2,""viewing_time"":2295}]","33496","","","","","","","","","",""
"","","","FIX","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","5","41495","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","6","43629","0.0-5.0-2.0","","2134","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>2 weeks</div></div><div class='cr'><div class='vertical-center'>$11<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11<br><br>now","$30<br>in<br>2 weeks","1","11","30","2","THEN"
"","","","offerFB","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","7","43882","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>2 weeks</font></div></div><div class='cr'><div class='vertical-center'>$11<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11<br><br>now","$30<br>in<br>2 weeks","1","11","30","2",""
"","","","FIX","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","8","44391","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","9","45979","0.0-5.0-2.1","","1587","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3","THEN"
"","","","offerFB","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","10","46243","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3",""
"","","","FIX","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","11","46752","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d842d3e9626bd5fe5c17b1","bdp_td","Mon Mar 27 2023 16:14:14 GMT-0700 (Pacific Daylight Time)","108782","html-keyboard-response","12","47748","0.0-5.0-2.2","","994","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1","THEN"
