"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"blur","0","0","blurevent","1","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","","","","","","","","","","","","","","","",""
"","","","","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","pavlovia","0","3","0.0-0.0","","","","","","","","","","","",""
"focus","1","1009","focusevent","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","","","","","","","","","","","","","","","",""
"","","","","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","instructions","1","3990","0.0-1.0","[{""page_index"":0,""viewing_time"":3984}]","3985","","","","","","","","","",""
"fullscreenenter","2","6970","fullscreenenter","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","","","","","","","","","","","","","","","",""
"","","","","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","fullscreen","2","7940","0.0-2.0","","","true","","","","","","","","",""
"","","","","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","instructions","3","36791","0.0-4.0","[{""page_index"":0,""viewing_time"":15283},{""page_index"":1,""viewing_time"":9141},{""page_index"":2,""viewing_time"":4426}]","28850","","","","","","","","","",""
"","","","blurwarn","1","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","image-keyboard-response","4","56654","0.0-5.0-0.0-0.0","","19861","","","49","","","","","","",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","5","57407","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","6","60017","0.0-5.0-2.0","","2608","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3","NOW"
