"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","instructions","1","1460","0.0-1.0","[{""page_index"":0,""viewing_time"":1457}]","1457","","","","","","","","","","",""
"blur","2","3098","blurevent","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","","","","","","","1","","","","","","","","","",""
"focus","2","3148","focusevent","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","3151","fullscreenexit","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","fullscreen","2","3879","0.0-2.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","image-keyboard-response","3","5047","0.0-3.0-0.0","","1162","","","","32","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","instructions","4","21326","0.0-4.0","[{""page_index"":0,""viewing_time"":9836},{""page_index"":1,""viewing_time"":5194},{""page_index"":2,""viewing_time"":991}]","16021","","","","","","","","","","",""
"","","","blurwarn","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","image-keyboard-response","5","23779","0.0-5.0-0.0-0.0","","2451","1","","","49","","","","","","",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","6","24543","0.0-5.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","7","26873","0.0-5.0-2.0","","2325","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12","THEN"
