"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","","","","","","","","","","","","","","","","",""
"","","","","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"blur","1","47","blurevent","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","","","","","1","","","","","","","","","","","",""
"focus","1","6254","focusevent","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","","","","","","","","","","","","","","","","",""
"","","","","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","instructions","1","8300","0.0-1.0","","[{""page_index"":0,""viewing_time"":8297}]","8298","","","","","","","","","",""
"fullscreenexit","2","10321","fullscreenexit","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","","","","","","","","","","","","","","","","",""
"","","","","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","fullscreen","2","11110","0.0-2.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","image-keyboard-response","3","12358","0.0-3.0-0.0","","","1245","","","32","","","","","","",""
"","","","","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","instructions","4","42615","0.0-4.0","","[{""page_index"":0,""viewing_time"":19695},{""page_index"":1,""viewing_time"":6636},{""page_index"":2,""viewing_time"":3672}]","30004","","","","","","","","","",""
"","","","blurwarn","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","image-keyboard-response","5","50135","0.0-5.0-0.0-0.0","1","","7516","","","49","","","","","","",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","6","50888","0.0-5.0-1.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","7","55932","0.0-5.0-2.0","","","5041","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","8","56185","0.0-5.0-3.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","9","56687","0.0-5.0-1.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
