"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","","","","","","","","","","","","","","",""
"instructions","1","3362","0.0-1.0","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","[{""page_index"":0,""viewing_time"":3360}]","3360","","","","","","","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","fullscreenenter","2","5967","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","6954","0.0-2.0","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","","","","","true","","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","blur","3","35387","blurevent","","1","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","focus","3","36102","focusevent","","","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","blur","3","39562","blurevent","","","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","focus","3","41434","focusevent","","","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","blur","3","43986","blurevent","","","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","","focus","3","45294","focusevent","","","","","","","","","","",""
"instructions","3","51073","0.0-4.0","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","[{""page_index"":0,""viewing_time"":7997},{""page_index"":1,""viewing_time"":14479},{""page_index"":2,""viewing_time"":21640}]","44116","","","","","","","","","","","","","","",""
"image-keyboard-response","4","58192","0.0-5.0-0.0-0.0","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","7119","","","","blurwarn","","1","","49","","","","","","",""
"html-keyboard-response","5","58945","0.0-5.0-1.0","5b184f9768a5ed0001734190","bdp_td","Mon Mar 27 2023 00:58:04 GMT-0700 (Pacific Daylight Time)","137731","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
