"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen","numBlurs"
"pavlovia","0","2","0.0-0.0","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","","","","","","","","","","","","","","","",""
"instructions","1","4721","0.0-1.0","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","[{""page_index"":0,""viewing_time"":4719}]","4719","","","","","","","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","","fullscreenenter","2","6557","fullscreenenter","","","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","","fullscreenenter","2","6557","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","7503","0.0-2.0","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","","","","","","true","","","","","","","","","",""
"instructions","3","51505","0.0-4.0","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","[{""page_index"":0,""viewing_time"":12043},{""page_index"":1,""viewing_time"":26587},{""page_index"":2,""viewing_time"":5371}]","44001","","","","","","","","","","","","","","",""
"html-keyboard-response","4","52009","0.0-5.0-1.0","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","5","53538","0.0-5.0-2.0","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","1528","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW",""
"html-keyboard-response","6","53791","0.0-5.0-3.0","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","",""
"html-keyboard-response","7","54293","0.0-5.0-1.1","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","8","55624","0.0-5.0-2.1","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","1330","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12","NOW",""
"html-keyboard-response","9","55875","0.0-5.0-3.1","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12","",""
"html-keyboard-response","10","56377","0.0-5.0-1.2","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","11","57949","0.0-5.0-2.2","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","1571","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$28<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12","NOW",""
"html-keyboard-response","12","58201","0.0-5.0-3.2","5f9873550513db147c9d2958","bdp_td","Sat Mar 25 2023 22:07:26 GMT-0400 (Eastern Daylight Time)","124536","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12","",""
