"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","4","0.0-0.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","","","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","blur","1","381","blurevent","1","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","focus","1","3543","focusevent","","","","","","","","","","","","",""
"instructions","1","5313","0.0-1.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","","","[{""page_index"":0,""viewing_time"":5307}]","5308","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","fullscreenenter","2","8383","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","9375","0.0-2.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","","","","","true","","","","","","","","",""
"instructions","3","29203","0.0-4.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","","","[{""page_index"":0,""viewing_time"":9299},{""page_index"":1,""viewing_time"":6921},{""page_index"":2,""viewing_time"":3606}]","19827","","","","","","","","","",""
"image-keyboard-response","4","34827","0.0-5.0-0.0-0.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","blurwarn","1","","5621","","","49","","","","","","",""
"html-keyboard-response","5","35584","0.0-5.0-1.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","39703","0.0-5.0-2.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","offer","","","4116","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1","THEN"
"html-keyboard-response","7","39960","0.0-5.0-3.0","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1",""
"html-keyboard-response","8","40467","0.0-5.0-1.1","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","44731","0.0-5.0-2.1","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","offer","","","4263","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6","THEN"
"html-keyboard-response","10","44985","0.0-5.0-3.1","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6",""
"html-keyboard-response","11","45491","0.0-5.0-1.2","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","51761","0.0-5.0-2.2","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","offer","","","6268","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12","THEN"
"html-keyboard-response","13","52017","0.0-5.0-3.2","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12",""
"html-keyboard-response","14","52521","0.0-5.0-1.3","5e7fb4743c00ce69510024fb","bdp_td","Sat Apr 01 2023 20:21:06 GMT-0500 (Central Daylight Time)","142671","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
