"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen","numBlurs"
"pavlovia","0","3","0.0-0.0","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","","","","","","","","","","","","","","","",""
"instructions","1","1889","0.0-1.0","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","[{""page_index"":0,""viewing_time"":1885}]","1886","","","","","","","","","","","","","","",""
"","","","","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","","fullscreenenter","2","3839","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","4763","0.0-2.0","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","","","","","","true","","","","","","","","","",""
"instructions","3","32116","0.0-4.0","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","[{""page_index"":0,""viewing_time"":8342},{""page_index"":1,""viewing_time"":12310},{""page_index"":2,""viewing_time"":6698}]","27350","","","","","","","","","","","","","","",""
"html-keyboard-response","4","32621","0.0-5.0-1.0","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","5","34883","0.0-5.0-2.0","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","2259","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br><br>now","$85<br>in<br>12 weeks","0","80","85","12","NOW",""
"html-keyboard-response","6","35136","0.0-5.0-3.0","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","0","80","85","12","",""
"html-keyboard-response","7","35639","0.0-5.0-1.1","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","8","37274","0.0-5.0-2.1","60ff4339f5ffb265d16b144f","bdp_td","Mon Mar 27 2023 16:29:36 GMT-0400 (Eastern Daylight Time)","109814","","1633","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW",""
