"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","1","0.0-0.0","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","","","","","","","","","","","","","","","",""
"instructions","1","3634","0.0-1.0","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","[{""page_index"":0,""viewing_time"":3632}]","3632","","","","","","","","","","","","","","",""
"","","","","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","","blur","2","6736","blurevent","1","","","","","","","","","",""
"","","","","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","","focus","2","27746","focusevent","","","","","","","","","","",""
"","","","","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","","fullscreenenter","2","28941","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","29922","0.0-2.0","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","","","","","","","true","","","","","","","","",""
"instructions","3","58840","0.0-4.0","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","[{""page_index"":0,""viewing_time"":14423},{""page_index"":1,""viewing_time"":8199},{""page_index"":2,""viewing_time"":6296}]","28918","","","","","","","","","","","","","","",""
"image-keyboard-response","4","74108","0.0-5.0-0.0-0.0","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","15268","","","","blurwarn","1","","","49","","","","","","",""
"html-keyboard-response","5","74861","0.0-5.0-1.0","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","77775","0.0-5.0-2.0","64057cd2806cfdca58f0de34","bdp_td","Sat Mar 25 2023 19:46:08 GMT-0700 (Pacific Daylight Time)","139185","","2914","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br><br>now</div></div><div class='cr'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br><br>now","$75<br>in<br>6 weeks","0","55","75","6","THEN"
