"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","4","0.0-0.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","","","","","","","","","","","","","",""
"","","","","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","blur","1","2565","blurevent","1","","","","","","","","","","","",""
"","","","","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","focus","1","4456","focusevent","","","","","","","","","","","","",""
"instructions","1","6035","0.0-1.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","","","[{""page_index"":0,""viewing_time"":6031}]","6031","","","","","","","","","",""
"","","","","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","fullscreenenter","2","7450","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","8415","0.0-2.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","","","","","true","","","","","","","","",""
"instructions","3","18914","0.0-4.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","","","[{""page_index"":0,""viewing_time"":4589},{""page_index"":1,""viewing_time"":3062},{""page_index"":2,""viewing_time"":2847}]","10498","","","","","","","","","",""
"image-keyboard-response","4","24812","0.0-5.0-0.0-0.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","blurwarn","1","","5895","","","49","","","","","","",""
"html-keyboard-response","5","25566","0.0-5.0-1.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","32804","0.0-5.0-2.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","offer","","","7235","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","THEN"
"html-keyboard-response","7","33060","0.0-5.0-3.0","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3",""
"html-keyboard-response","8","33562","0.0-5.0-1.1","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","37509","0.0-5.0-2.1","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","offer","","","3945","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW"
"html-keyboard-response","10","37765","0.0-5.0-3.1","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12",""
"html-keyboard-response","11","38266","0.0-5.0-1.2","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","40245","0.0-5.0-2.2","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","offer","","","1977","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br><br>now","$35<br>in<br>2 weeks","0","15","35","2","THEN"
"html-keyboard-response","13","40498","0.0-5.0-3.2","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br><br>now","$35<br>in<br>2 weeks","0","15","35","2",""
"html-keyboard-response","14","41000","0.0-5.0-1.3","5c2a9b55867f660001af0515","bdp_td","Sat Mar 25 2023 22:33:21 GMT-0400 (Eastern Daylight Time)","149809","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
