"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen","numBlurs"
"pavlovia","0","3","0.0-0.0","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","","","","","","","","","","","","","","","",""
"instructions","1","2130","0.0-1.0","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","[{""page_index"":0,""viewing_time"":2126}]","2126","","","","","","","","","","","","","","",""
"","","","","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","","fullscreenenter","2","4189","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","5118","0.0-2.0","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","","","","","","true","","","","","","","","","",""
"instructions","3","27316","0.0-4.0","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","[{""page_index"":0,""viewing_time"":17027},{""page_index"":1,""viewing_time"":2544},{""page_index"":2,""viewing_time"":2626}]","22197","","","","","","","","","","","","","","",""
"html-keyboard-response","4","27818","0.0-5.0-1.0","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","5","29715","0.0-5.0-2.0","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","1896","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3","THEN",""
"html-keyboard-response","6","29969","0.0-5.0-3.0","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3","",""
"html-keyboard-response","7","30471","0.0-5.0-1.1","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","8","32029","0.0-5.0-2.1","61006f43a84b82fb439d7cba","bdp_td","Sun Mar 26 2023 10:03:56 GMT-0600 (Mountain Daylight Time)","100486","","1557","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$55<br>in<br>12 weeks","0","54","55","12","NOW",""
