"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","","","","","","","","","","","","","","","","",""
"","","","","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","blur","1","10294","blurevent","1","","","","","","","","","","","",""
"","","","","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","focus","1","35711","focusevent","","","","","","","","","","","","",""
"instructions","1","38441","0.0-1.0","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","","","","","","[{""page_index"":0,""viewing_time"":38439}]","38439","","","","","","","","","",""
"","","","","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","fullscreenenter","2","41934","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","42922","0.0-2.0","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","","","","","","","","true","","","","","","","","",""
"instructions","3","74721","0.0-4.0","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","","","","","","[{""page_index"":0,""viewing_time"":7890},{""page_index"":1,""viewing_time"":15653},{""page_index"":2,""viewing_time"":8256}]","31799","","","","","","","","","",""
"image-keyboard-response","4","85713","0.0-5.0-0.0-0.0","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","","","","blurwarn","1","","10991","","","49","","","","","","",""
"html-keyboard-response","5","86466","0.0-5.0-1.0","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","91569","0.0-5.0-2.0","5dd03c5486c8861300974102","bdp_td","Sun Mar 26 2023 07:41:00 GMT-0400 (Eastern Daylight Time)","164894","","","","offer","","","5102","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3","NOW"
