"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","","","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","pavlovia","0","4","0.0-0.0","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","instructions","1","2027","0.0-1.0","[{""page_index"":0,""viewing_time"":2022}]","2022","","","","","","","","","",""
"fullscreenexit","2","4739","fullscreenexit","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","","","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","fullscreen","2","5513","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","image-keyboard-response","3","7745","0.0-3.0-0.0","","2229","","","32","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","instructions","4","34057","0.0-4.0","[{""page_index"":0,""viewing_time"":10693},{""page_index"":1,""viewing_time"":7638},{""page_index"":2,""viewing_time"":7720}]","26051","","","","","","","","","",""
"","","","FIX","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","html-keyboard-response","5","34567","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","html-keyboard-response","6","41612","0.0-5.0-2.0","","7041","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3","THEN"
"","","","offerFB","63b82398bbe6a599972413ad","bdp_td","Tue Mar 28 2023 11:10:09 GMT-0400 (Eastern Daylight Time)","109753","html-keyboard-response","7","41875","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3",""
