"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","1","0.0-0.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","focus","1","944","focusevent","","","","","","","","","","","",""
"instructions","1","2428","0.0-1.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","","[{""page_index"":0,""viewing_time"":2426}]","2426","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","fullscreenexit","2","4007","fullscreenexit","","","","","","","","","","","",""
"fullscreen","2","4795","0.0-2.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","","","","true","","","","","","","","",""
"image-keyboard-response","3","6057","0.0-3.0-0.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","fullscreenfail","","1259","","","32","","","","","","",""
"instructions","4","21960","0.0-4.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","","[{""page_index"":0,""viewing_time"":6791},{""page_index"":1,""viewing_time"":5377},{""page_index"":2,""viewing_time"":3478}]","15647","","","","","","","","","",""
"html-keyboard-response","5","22467","0.0-5.0-1.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","25223","0.0-5.0-2.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","offer","","2755","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","THEN"
"html-keyboard-response","7","25475","0.0-5.0-3.0","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","offerFB","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"html-keyboard-response","8","25980","0.0-5.0-1.1","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","27797","0.0-5.0-2.1","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","offer","","1815","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","THEN"
"html-keyboard-response","10","28049","0.0-5.0-3.1","63d80b500adef5b476e289a7","bdp_td","Tue Mar 28 2023 13:30:05 GMT-0400 (Eastern Daylight Time)","71385","","","","offerFB","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6",""
