"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","","","","","","","","","","","","","","","","",""
"","","","","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","blur","1","399","blurevent","1","","","","","","","","","","","",""
"","","","","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","focus","1","6530","focusevent","","","","","","","","","","","","",""
"instructions","1","8055","0.0-1.0","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","","","","","","[{""page_index"":0,""viewing_time"":8052}]","8052","","","","","","","","","",""
"","","","","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","fullscreenenter","2","12438","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","13430","0.0-2.0","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","","","","","","","","true","","","","","","","","",""
"instructions","3","37936","0.0-4.0","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","","","","","","[{""page_index"":0,""viewing_time"":4739},{""page_index"":1,""viewing_time"":13486},{""page_index"":2,""viewing_time"":6279}]","24504","","","","","","","","","",""
"image-keyboard-response","4","44184","0.0-5.0-0.0-0.0","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","","","","blurwarn","1","","6245","","","49","","","","","","",""
"html-keyboard-response","5","44943","0.0-5.0-1.0","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","49150","0.0-5.0-2.0","fertuck1","bdp_td","Sun Feb 26 2023 12:53:54 GMT-0500 (Eastern Standard Time)","101105","","","","offer","","","4205","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","THEN"
