"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","pavlovia","0","2","0.0-0.0","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","instructions","1","3356","0.0-1.0","[{""page_index"":0,""viewing_time"":3352}]","3353","","","","","","","","",""
"fullscreenexit","2","5099","fullscreenexit","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","fullscreen","2","6092","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","image-keyboard-response","3","6996","0.0-3.0-0.0","","901","","","32","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","instructions","4","42769","0.0-4.0","[{""page_index"":0,""viewing_time"":21173},{""page_index"":1,""viewing_time"":8193},{""page_index"":2,""viewing_time"":6152}]","35518","","","","","","","","",""
"","","","FIX","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","5","43275","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","6","45562","0.0-5.0-2.0","","2285","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$21<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$21","$25","1","21","25","SURE"
"","","","offerFB","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","7","45819","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$21<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$21","$25","1","21","25",""
"","","","FIX","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","8","46322","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","9","58166","0.0-5.0-2.1","","11844","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$13","$41","1","13","41","SURE"
"","","","offerFB","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","10","58422","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$13<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$13","$41","1","13","41",""
"","","","FIX","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","11","58928","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","12","60323","0.0-5.0-2.2","","1394","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$45<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$8","$45","0","8","45","RISKY"
"","","","offerFB","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","13","60580","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$45<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$8","$45","0","8","45",""
"","","","FIX","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","14","61086","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","61103c2b7810420e5f23f437","bdp_rd","Sun Mar 26 2023 15:12:20 GMT-0500 (Central Daylight Time)","216385","html-keyboard-response","15","63699","0.0-5.0-2.3","","2613","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$5","$16","1","5","16","RISKY"
