"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","pavlovia","0","2","0.0-0.0","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","instructions","1","861","0.0-1.0","[{""page_index"":0,""viewing_time"":859}]","859","","","","","","","","","",""
"blur","2","4835","blurevent","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","","","","","","","1","","","","","","","","",""
"focus","2","4890","focusevent","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","","","","","","","","","","","","","","","",""
"fullscreenexit","2","4891","fullscreenexit","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","fullscreen","2","5619","0.0-2.0","","","","true","","","","","","","",""
"","","","fullscreenfail","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","image-keyboard-response","3","7475","0.0-3.0-0.0","","1852","","","","32","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","instructions","4","17035","0.0-4.0","[{""page_index"":0,""viewing_time"":5723},{""page_index"":1,""viewing_time"":1705},{""page_index"":2,""viewing_time"":1874}]","9302","","","","","","","","","",""
"","","","blurwarn","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","image-keyboard-response","5","18225","0.0-5.0-0.0-0.0","","1188","1","","","49","","","","","",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","6","18986","0.0-5.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","7","22904","0.0-5.0-2.0","","3916","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$42<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22","$42","1","22","42","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","8","23161","0.0-5.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$42<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22","$42","1","22","42",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","9","23668","0.0-5.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","10","25423","0.0-5.0-2.1","","1751","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$7","$10","1","7","10","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","11","25680","0.0-5.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$10<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$7","$10","1","7","10",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","12","26185","0.0-5.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","13","27981","0.0-5.0-2.2","","1793","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$50<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$5","$50","0","5","50","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","14","28239","0.0-5.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$5","$50","0","5","50",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","15","28746","0.0-5.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
