"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","","","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","pavlovia","0","17","0.0-0.0","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","instructions","1","1549","0.0-1.0","[{""page_index"":0,""viewing_time"":1532}]","1532","","","","","","","","","",""
"blur","2","2876","blurevent","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","","","","","","","1","","","","","","","","",""
"focus","2","4135","focusevent","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","","","","","","","","","","","","","","","",""
"fullscreenexit","2","5335","fullscreenexit","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","","","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","fullscreen","2","6098","0.0-2.0","","","","true","","","","","","","",""
"","","","fullscreenfail","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","image-keyboard-response","3","6937","0.0-3.0-0.0","","836","","","","32","","","","","",""
"","","","","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","instructions","4","22924","0.0-4.0","[{""page_index"":0,""viewing_time"":10657},{""page_index"":1,""viewing_time"":2200},{""page_index"":2,""viewing_time"":2875}]","15732","","","","","","","","","",""
"","","","blurwarn","63d80b500adef5b476e289a8","bdp_rd","Tue Mar 28 2023 13:31:28 GMT-0400 (Eastern Daylight Time)","112593","image-keyboard-response","5","30260","0.0-5.0-0.0-0.0","","7334","1","","","49","","","","","",""
