"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","pavlovia","0","2","0.0-0.0","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","instructions","1","2271","0.0-1.0","[{""page_index"":0,""viewing_time"":2268}]","2269","","","","","","","","",""
"fullscreenexit","2","5098","fullscreenexit","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","fullscreen","2","5872","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","image-keyboard-response","3","6964","0.0-3.0-0.0","","1089","","","32","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","instructions","4","30219","0.0-4.0","[{""page_index"":0,""viewing_time"":17208},{""page_index"":1,""viewing_time"":4557},{""page_index"":2,""viewing_time"":1237}]","23002","","","","","","","","",""
"","","","FIX","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","html-keyboard-response","5","30740","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","html-keyboard-response","6","36815","0.0-5.0-2.0","","6071","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$9","$18","1","9","18","RISKY"
"","","","offerFB","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","html-keyboard-response","7","37073","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$18<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$9","$18","1","9","18",""
"","","","FIX","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","html-keyboard-response","8","37580","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5fc70f3bd255c10f0b2346ba","bdp_rd","Mon Mar 27 2023 19:11:46 GMT-0700 (Pacific Daylight Time)","235808","html-keyboard-response","9","40170","0.0-5.0-2.1","","2588","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$80<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20","$80","0","20","80","RISKY"
