"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","pavlovia","0","7","0.0-0.0","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","instructions","1","1707","0.0-1.0","[{""page_index"":0,""viewing_time"":1697}]","1698","","","","","","","","",""
"fullscreenexit","2","3938","fullscreenexit","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","fullscreen","2","4925","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","image-keyboard-response","3","8170","0.0-3.0-0.0","","3241","","","32","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","instructions","4","47883","0.0-4.0","[{""page_index"":0,""viewing_time"":22858},{""page_index"":1,""viewing_time"":11637},{""page_index"":2,""viewing_time"":4966}]","39461","","","","","","","","",""
"","","","FIX","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","html-keyboard-response","5","48388","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","html-keyboard-response","6","51252","0.0-5.0-2.0","","2860","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$6","$13","0","6","13","RISKY"
"","","","offerFB","612fbc37af2136fe81fc71a9","bdp_rd","Wed Mar 29 2023 09:34:01 GMT-0700 (Pacific Daylight Time)","219332","html-keyboard-response","7","51507","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$13<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$6","$13","0","6","13",""
