"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen","numBlurs"
"pavlovia","0","3","0.0-0.0","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","","","","","","","","","","","","","","",""
"instructions","1","1386","0.0-1.0","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","[{""page_index"":0,""viewing_time"":1382}]","1382","","","","","","","","","","","","","",""
"","","","","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","","fullscreenenter","2","3307","fullscreenenter","","","","","","","","","",""
"fullscreen","2","4300","0.0-2.0","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","","","","","","true","","","","","","","","",""
"instructions","3","24384","0.0-4.0","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","[{""page_index"":0,""viewing_time"":14000},{""page_index"":1,""viewing_time"":3574},{""page_index"":2,""viewing_time"":2508}]","20083","","","","","","","","","","","","","",""
"html-keyboard-response","4","24893","0.0-5.0-1.0","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","26595","0.0-5.0-2.0","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","1701","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$21<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$2","$21","0","2","21","RISKY",""
"html-keyboard-response","6","26853","0.0-5.0-3.0","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$21<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$2","$21","0","2","21","",""
"html-keyboard-response","7","27357","0.0-5.0-1.1","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","30151","0.0-5.0-2.1","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","2793","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15","$31","1","15","31","SURE",""
"html-keyboard-response","9","30406","0.0-5.0-3.1","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15","$31","1","15","31","",""
"html-keyboard-response","10","30911","0.0-5.0-1.2","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","31900","0.0-5.0-2.2","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","989","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$1","$33","1","1","33","RISKY",""
"html-keyboard-response","12","32159","0.0-5.0-3.2","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$33<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$1","$33","1","1","33","",""
"html-keyboard-response","13","32669","0.0-5.0-1.3","63cedc8a97a0bb604736baea","bdp_rd","Sun Mar 26 2023 10:43:49 GMT-0600 (Mountain Daylight Time)","139119","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
