"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","pavlovia","0","4","0.0-0.0","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","instructions","1","776","0.0-1.0","[{""page_index"":0,""viewing_time"":772}]","772","","","","","","","","",""
"fullscreenexit","2","1984","fullscreenexit","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","fullscreen","2","2795","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","image-keyboard-response","3","3768","0.0-3.0-0.0","","971","","","32","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","instructions","4","19794","0.0-4.0","[{""page_index"":0,""viewing_time"":11022},{""page_index"":1,""viewing_time"":3020},{""page_index"":2,""viewing_time"":1733}]","15775","","","","","","","","",""
"","","","FIX","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","5","20302","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","6","21664","0.0-5.0-2.0","","1361","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$89<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28","$89","0","28","89","RISKY"
"","","","offerFB","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","7","21915","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$89<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28","$89","0","28","89",""
"","","","FIX","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","8","22427","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","9","23365","0.0-5.0-2.1","","938","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$23<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$8","$23","0","8","23","RISKY"
"","","","offerFB","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","10","23617","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$23<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$8","$23","0","8","23",""
"","","","FIX","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","11","24131","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","12","25316","0.0-5.0-2.2","","1185","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$6","$13","0","6","13","SURE"
"","","","offerFB","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","13","25581","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$6<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$6","$13","0","6","13",""
"","","","FIX","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","14","26094","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","15","27084","0.0-5.0-2.3","","990","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$16","$38","0","16","38","RISKY"
"","","","offerFB","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","16","27339","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$38<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$16","$38","0","16","38",""
"","","","FIX","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","17","27854","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","18","29286","0.0-5.0-2.4","","1430","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$18","$39","1","18","39","RISKY"
"","","","offerFB","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","19","29543","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$39<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$18","$39","1","18","39",""
"","","","FIX","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","20","30058","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","21","31114","0.0-5.0-2.5","","1055","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$30<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$1","$30","0","1","30","RISKY"
"","","","offerFB","5d9303bbc400a90018821b13","bdp_rd","Sat Mar 25 2023 19:54:18 GMT-0400 (Eastern Daylight Time)","135107","html-keyboard-response","22","31372","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$1","$30","0","1","30",""
