"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen","numBlurs"
"pavlovia","0","2","0.0-0.0","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","","","","","","","","","","","","","","",""
"instructions","1","1329","0.0-1.0","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","[{""page_index"":0,""viewing_time"":1326}]","1326","","","","","","","","","","","","","",""
"","","","","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","","fullscreenenter","2","4444","fullscreenenter","","","","","","","","","",""
"fullscreen","2","5432","0.0-2.0","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","","","","","","true","","","","","","","","",""
"instructions","3","16916","0.0-4.0","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","[{""page_index"":0,""viewing_time"":6807},{""page_index"":1,""viewing_time"":2295},{""page_index"":2,""viewing_time"":2381}]","11483","","","","","","","","","","","","","",""
"html-keyboard-response","4","17423","0.0-5.0-1.0","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","20606","0.0-5.0-2.0","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","3182","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25","$54","1","25","54","SURE",""
"html-keyboard-response","6","20862","0.0-5.0-3.0","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25","$54","1","25","54","",""
"html-keyboard-response","7","21367","0.0-5.0-1.1","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","25287","0.0-5.0-2.1","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","3920","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$36<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$18","$36","1","18","36","RISKY",""
"html-keyboard-response","9","25543","0.0-5.0-3.1","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$36<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$18","$36","1","18","36","",""
"html-keyboard-response","10","26046","0.0-5.0-1.2","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","28264","0.0-5.0-2.2","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","2217","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$59<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22","$59","0","22","59","RISKY",""
"html-keyboard-response","12","28519","0.0-5.0-3.2","5766d2f7fdff7a0001c1285b","bdp_rd","Sun Apr 09 2023 16:02:54 GMT-0700 (Pacific Daylight Time)","148216","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$59<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22","$59","0","22","59","",""
