"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","pavlovia","0","3","0.0-0.0","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","instructions","1","1142","0.0-1.0","[{""page_index"":0,""viewing_time"":1138}]","1138","","","","","","","","","",""
"blur","2","2163","blurevent","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","","","","","","","1","","","","","","","","",""
"focus","2","2174","focusevent","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","","","","","","","","","","","","","","","",""
"fullscreenexit","2","2212","fullscreenexit","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","fullscreen","2","2942","0.0-2.0","","","","true","","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","image-keyboard-response","3","3605","0.0-3.0-0.0","","658","","","","32","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","instructions","4","14947","0.0-4.0","[{""page_index"":0,""viewing_time"":5912},{""page_index"":1,""viewing_time"":3914},{""page_index"":2,""viewing_time"":1261}]","11087","","","","","","","","","",""
"","","","blurwarn","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","image-keyboard-response","5","16137","0.0-5.0-0.0-0.0","","1187","1","","","49","","","","","",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","6","16901","0.0-5.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","7","18683","0.0-5.0-2.0","","1779","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$20<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20","$80","1","20","80","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","8","18941","0.0-5.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$20<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20","$80","1","20","80",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","9","19449","0.0-5.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","10","21041","0.0-5.0-2.1","","1589","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$10","$19","1","10","19","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","11","21295","0.0-5.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$10<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$10","$19","1","10","19",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","12","21802","0.0-5.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","13","23295","0.0-5.0-2.2","","1488","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$21<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$21","$25","1","21","25","SURE"
