"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","4","0.0-0.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","","","","","","","","","","","","","",""
"instructions","1","1226","0.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","[{""page_index"":0,""viewing_time"":1222}]","1222","","","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","","fullscreenenter","2","2899","fullscreenenter","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","","fullscreenexit","2","3816","fullscreenexit","","","","","","","","",""
"fullscreen","2","3891","0.0-2.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","","","","","","true","","","","","","","",""
"image-keyboard-response","3","5096","0.0-3.0-0.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","1203","","","","fullscreenfail","","","32","","","","","",""
"instructions","4","8460","0.0-4.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","[{""page_index"":0,""viewing_time"":1247},{""page_index"":1,""viewing_time"":948},{""page_index"":2,""viewing_time"":908}]","3104","","","","","","","","","","","","",""
"html-keyboard-response","5","8961","0.0-5.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","6","10395","0.0-5.0-2.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","1432","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$21<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$2","$21","0","2","21","RISKY"
"html-keyboard-response","7","10650","0.0-5.0-3.0","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$21<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$2","$21","0","2","21",""
"html-keyboard-response","8","11155","0.0-5.0-1.1","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","9","11295","0.0-5.0-2.1","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","138","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$21<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$21","$25","0","21","25","RISKY"
"html-keyboard-response","10","11553","0.0-5.0-3.1","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$21<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$21","$25","0","21","25",""
"html-keyboard-response","11","12058","0.0-5.0-1.2","63d82d20ed2b67b4f77f1fc7","bdp_rd","Mon Mar 27 2023 07:26:05 GMT-0700 (Pacific Daylight Time)","99151","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
