"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","2","0.0-0.0","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","","","","","","","","","","","","","",""
"instructions","1","2266","0.0-1.0","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","[{""page_index"":0,""viewing_time"":2264}]","2264","","","","","","","","","","","","",""
"","","","","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","","fullscreenenter","2","7611","fullscreenenter","","","","","","","","",""
"fullscreen","2","8599","0.0-2.0","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","","","","","","true","","","","","","","",""
"","","","","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","","fullscreenexit","3","8608","fullscreenexit","","","","","","","","",""
"instructions","3","23126","0.0-4.0","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","[{""page_index"":0,""viewing_time"":5497},{""page_index"":1,""viewing_time"":4583},{""page_index"":2,""viewing_time"":4446}]","14526","","","","","","","","","","","","",""
"html-keyboard-response","4","23628","0.0-5.0-1.0","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","27129","0.0-5.0-2.0","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","3499","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$13","$24","1","13","24","SURE"
"html-keyboard-response","6","27382","0.0-5.0-3.0","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$13<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$13","$24","1","13","24",""
"html-keyboard-response","7","27884","0.0-5.0-1.1","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","29024","0.0-5.0-2.1","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","1140","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$59<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22","$59","1","22","59","SURE"
"html-keyboard-response","9","29276","0.0-5.0-3.1","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$59<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22","$59","1","22","59",""
"html-keyboard-response","10","29777","0.0-5.0-1.2","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","31551","0.0-5.0-2.2","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","1772","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$31<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15","$31","0","15","31","SURE"
"html-keyboard-response","12","31802","0.0-5.0-3.2","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$31<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15","$31","0","15","31",""
"html-keyboard-response","13","32304","0.0-5.0-1.3","5f2f86864fd821374b4367bc","bdp_rd","Mon Mar 27 2023 12:06:37 GMT-0700 (Pacific Daylight Time)","127047","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
