"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","12","0.0-0.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","","","","","","","","","","","","","",""
"instructions","1","23072","0.0-1.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","[{""page_index"":0,""viewing_time"":23058}]","23058","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","blur","2","25034","blurevent","1","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","focus","2","25042","focusevent","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","blur","2","25044","blurevent","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","fullscreenenter","2","25051","fullscreenenter","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","focus","2","25303","focusevent","","","","","","","","","",""
"fullscreen","2","26011","0.0-2.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","","","","","","true","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","","fullscreenexit","3","93796","fullscreenexit","","","","","","","","","",""
"instructions","3","106870","0.0-4.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","[{""page_index"":0,""viewing_time"":72956},{""page_index"":1,""viewing_time"":2989},{""page_index"":2,""viewing_time"":4906}]","80851","","","","","","","","","","","","","",""
"image-keyboard-response","4","109888","0.0-5.0-0.0-0.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","3012","","","","blurwarn","1","","","49","","","","","",""
"html-keyboard-response","5","110645","0.0-5.0-1.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","6","113503","0.0-5.0-2.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2853","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$98<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$53<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$53","$98","1","53","98","RISKY"
"html-keyboard-response","7","113759","0.0-5.0-3.0","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$98<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$53<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$53","$98","1","53","98",""
"html-keyboard-response","8","114265","0.0-5.0-1.1","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","9","117828","0.0-5.0-2.1","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","3559","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14","$29","0","14","29","SURE"
"html-keyboard-response","10","118084","0.0-5.0-3.1","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14","$29","0","14","29",""
"html-keyboard-response","11","118588","0.0-5.0-1.2","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","12","121473","0.0-5.0-2.2","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2880","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$48<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34","$48","1","34","48","SURE"
"html-keyboard-response","13","121730","0.0-5.0-3.2","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$48<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34","$48","1","34","48",""
"html-keyboard-response","14","122235","0.0-5.0-1.3","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","15","124106","0.0-5.0-2.3","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1868","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$13","$24","1","13","24","SURE"
"html-keyboard-response","16","124361","0.0-5.0-3.3","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$13<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$13","$24","1","13","24",""
"html-keyboard-response","17","124866","0.0-5.0-1.4","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","18","128018","0.0-5.0-2.4","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","3149","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$40<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$40","0","10","40","SURE"
"html-keyboard-response","19","128272","0.0-5.0-3.4","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$10<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$40<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$40","0","10","40",""
"html-keyboard-response","20","128776","0.0-5.0-1.5","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","21","131013","0.0-5.0-2.5","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2233","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$59<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22","$59","1","22","59","SURE"
"html-keyboard-response","22","131268","0.0-5.0-3.5","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$59<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22","$59","1","22","59",""
"html-keyboard-response","23","131772","0.0-5.0-1.6","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","24","133667","0.0-5.0-2.6","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1892","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$73<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$42<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$42","$73","1","42","73","SURE"
"html-keyboard-response","25","133922","0.0-5.0-3.6","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$73<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$42<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$42","$73","1","42","73",""
"html-keyboard-response","26","134427","0.0-5.0-1.7","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","27","136998","0.0-5.0-2.7","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2567","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$21<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$21","1","2","21","RISKY"
"html-keyboard-response","28","137253","0.0-5.0-3.7","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$21<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$21","1","2","21",""
"html-keyboard-response","29","137757","0.0-5.0-1.8","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","30","139473","0.0-5.0-2.8","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1713","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$16","$28","1","16","28","RISKY"
"html-keyboard-response","31","139729","0.0-5.0-3.8","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$28<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$16","$28","1","16","28",""
"html-keyboard-response","32","140233","0.0-5.0-1.9","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","33","141676","0.0-5.0-2.9","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1439","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$18<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$9","$18","0","9","18","RISKY"
"html-keyboard-response","34","141932","0.0-5.0-3.9","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$18<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$9","$18","0","9","18",""
"html-keyboard-response","35","142436","0.0-5.0-1.10","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","36","145166","0.0-5.0-2.10","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2728","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$19","0","10","19","SURE"
"html-keyboard-response","37","145421","0.0-5.0-3.10","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$10<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$19","0","10","19",""
"html-keyboard-response","38","145925","0.0-5.0-1.11","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","39","148698","0.0-5.0-2.11","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2770","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$65<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$46<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$46","$65","1","46","65","SURE"
"html-keyboard-response","40","148953","0.0-5.0-3.11","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$65<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$46<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$46","$65","1","46","65",""
"html-keyboard-response","41","149456","0.0-5.0-1.12","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","42","151464","0.0-5.0-2.12","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2004","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$63<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$63","$100","0","63","10","SURE"
"html-keyboard-response","43","151719","0.0-5.0-3.12","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$63<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$63","$100","0","63","10",""
"html-keyboard-response","44","152223","0.0-5.0-1.13","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","45","154662","0.0-5.0-2.13","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2435","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$42<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22","$42","0","22","42","RISKY"
"html-keyboard-response","46","154917","0.0-5.0-3.13","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$42<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22","$42","0","22","42",""
"html-keyboard-response","47","155421","0.0-5.0-1.14","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","48","157158","0.0-5.0-2.14","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1734","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$32<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$9","$32","1","9","32","RISKY"
"html-keyboard-response","49","157413","0.0-5.0-3.14","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$32<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$9","$32","1","9","32",""
"html-keyboard-response","50","157917","0.0-5.0-1.15","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
