"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","pavlovia","0","13","0.0-0.0","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","instructions","1","2575","0.0-1.0","[{""page_index"":0,""viewing_time"":2561}]","2562","","","","","","","","",""
"fullscreenexit","2","45939","fullscreenexit","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","fullscreen","2","46721","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","image-keyboard-response","3","47791","0.0-3.0-0.0","","1065","","","32","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","instructions","4","141665","0.0-4.0","[{""page_index"":0,""viewing_time"":40601},{""page_index"":1,""viewing_time"":22358},{""page_index"":2,""viewing_time"":30662}]","93621","","","","","","","","",""
"","","","FIX","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","html-keyboard-response","5","142181","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","html-keyboard-response","6","148837","0.0-5.0-2.0","","6653","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$5","$50","1","5","50","RISKY"
"","","","offerFB","5e03f8517f08edece67a3137","bdp_rd","Sat Mar 25 2023 17:30:50 GMT-0700 (Pacific Daylight Time)","446351","html-keyboard-response","7","149093","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$5","$50","1","5","50",""
