"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","6","0.0-0.0","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","","","","","","","","","","","","","",""
"instructions","1","1019","0.0-1.0","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","[{""page_index"":0,""viewing_time"":1013}]","1013","","","","","","","","","","","","",""
"","","","","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","","fullscreenenter","2","4567","fullscreenenter","","","","","","","","",""
"fullscreen","2","5555","0.0-2.0","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","","","","","","true","","","","","","","",""
"","","","","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","","fullscreenexit","3","6212","fullscreenexit","","","","","","","","",""
"instructions","3","14499","0.0-4.0","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","[{""page_index"":0,""viewing_time"":1167},{""page_index"":1,""viewing_time"":6918},{""page_index"":2,""viewing_time"":857}]","8942","","","","","","","","","","","","",""
"html-keyboard-response","4","15003","0.0-5.0-1.0","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","17401","0.0-5.0-2.0","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","2395","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$7","$10","0","7","10","SURE"
"html-keyboard-response","6","17655","0.0-5.0-3.0","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$7<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$7","$10","0","7","10",""
"html-keyboard-response","7","18157","0.0-5.0-1.1","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","19294","0.0-5.0-2.1","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","1134","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$12","$35","0","12","35","SURE"
"html-keyboard-response","9","19548","0.0-5.0-3.1","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$12<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$12","$35","0","12","35",""
"html-keyboard-response","10","20050","0.0-5.0-1.2","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","22137","0.0-5.0-2.2","63d428eb946e85527cfdf058","bdp_rd","Sat Mar 25 2023 19:48:18 GMT-0700 (Pacific Daylight Time)","86060","","2084","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$6","$15","1","6","15","RISKY"
