"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","pavlovia","0","1","0.0-0.0","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","instructions","1","1257","0.0-1.0","[{""page_index"":0,""viewing_time"":1256}]","1256","","","","","","","","",""
"fullscreenexit","2","4779","fullscreenexit","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","fullscreen","2","5782","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","image-keyboard-response","3","9890","0.0-3.0-0.0","","4107","","","32","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","instructions","4","29368","0.0-4.0","[{""page_index"":0,""viewing_time"":11269},{""page_index"":1,""viewing_time"":4516},{""page_index"":2,""viewing_time"":3433}]","19218","","","","","","","","",""
"","","","FIX","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","5","29872","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","6","35485","0.0-5.0-2.0","","5612","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$1","$30","1","1","30","RISKY"
"","","","offerFB","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","7","35751","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$1","$30","1","1","30",""
"","","","FIX","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","8","36258","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","9","39654","0.0-5.0-2.1","","3396","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$73<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$42<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$42","$73","1","42","73","SURE"
"","","","offerFB","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","10","39906","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$73<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$42<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$42","$73","1","42","73",""
"","","","FIX","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","11","40413","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","12","42152","0.0-5.0-2.2","","1739","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$40","1","10","40","RISKY"
"","","","offerFB","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","13","42411","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$40","1","10","40",""
"","","","FIX","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","14","42919","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","15","47533","0.0-5.0-2.3","","4614","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$12","$35","0","12","35","RISKY"
"","","","offerFB","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","16","47797","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$12","$35","0","12","35",""
"","","","FIX","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","17","48306","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","18","51555","0.0-5.0-2.4","","3248","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$16","$28","0","16","28","RISKY"
"","","","offerFB","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","19","51811","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$16","$28","0","16","28",""
"","","","FIX","6156a0460b95fa57be8312c4","bdp_rd","Wed Mar 29 2023 01:18:49 GMT-0700 (Pacific Daylight Time)","265540","html-keyboard-response","20","52317","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
