"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","","","","","","","","","","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","pavlovia","0","1","0.0-0.0","","","","","","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","instructions","1","1728","0.0-1.0","[{""page_index"":0,""viewing_time"":1727}]","1727","","","","","","","","",""
"fullscreenexit","2","4244","fullscreenexit","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","","","","","","","","","","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","fullscreen","2","5237","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","image-keyboard-response","3","6135","0.0-3.0-0.0","","895","","","32","","","","","",""
"","","","","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","instructions","4","47294","0.0-4.0","[{""page_index"":0,""viewing_time"":22484},{""page_index"":1,""viewing_time"":12955},{""page_index"":2,""viewing_time"":5469}]","40908","","","","","","","","",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","5","47795","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","6","50914","0.0-5.0-2.0","","3117","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$21<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$21","1","2","21","RISKY"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","7","51165","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$21<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$21","1","2","21",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","8","51666","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","9","60249","0.0-5.0-2.1","","8582","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$12","$35","0","12","35","SURE"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","10","60501","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$12<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$12","$35","0","12","35",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","11","61002","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","12","64105","0.0-5.0-2.2","","3102","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$19","0","10","19","SURE"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","13","64355","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$10<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$19","0","10","19",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","14","64856","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","15","68270","0.0-5.0-2.3","","3413","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$18","$39","0","18","39","SURE"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","16","68522","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$18<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$18","$39","0","18","39",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","17","69024","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","18","70706","0.0-5.0-2.4","","1681","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$21<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$21","$25","1","21","25","SURE"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","19","70957","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$21<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$21","$25","1","21","25",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","20","71458","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","21","73554","0.0-5.0-2.5","","2095","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$71<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$7","$71","0","7","71","RISKY"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","22","73806","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$71<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$7","$71","0","7","71",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","23","74307","0.0-5.0-1.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","24","79445","0.0-5.0-2.6","","5137","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15","$34","1","15","34","RISKY"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","25","79696","0.0-5.0-3.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15","$34","1","15","34",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","26","80197","0.0-5.0-1.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","27","82743","0.0-5.0-2.7","","2545","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$32<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$9","$32","0","9","32","RISKY"
"","","","offerFB","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","28","82994","0.0-5.0-3.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$32<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$9","$32","0","9","32",""
"","","","FIX","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","29","83495","0.0-5.0-1.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6320e37620d067c7d322246a","bdp_rd","Mon Apr 10 2023 21:27:54 GMT-0400 (Eastern Daylight Time)","266005","html-keyboard-response","30","84970","0.0-5.0-2.8","","1473","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$7","$10","1","7","10","SURE"
