"event","trial","time","trialtype","subject_id","task","startTime","totalTime","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","1","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","pavlovia","0","3","0.0-0.0","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","instructions","1","5286","0.0-1.0","[{""page_index"":0,""viewing_time"":5281}]","5281","","","","","","","","",""
"fullscreenexit","2","8061","fullscreenexit","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","fullscreen","2","8852","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","image-keyboard-response","3","9986","0.0-3.0-0.0","","1131","","","32","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","instructions","4","74820","0.0-4.0","[{""page_index"":0,""viewing_time"":24570},{""page_index"":1,""viewing_time"":34895},{""page_index"":2,""viewing_time"":5113}]","64578","","","","","","","","",""
"","","","blurwarn","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","1","image-keyboard-response","5","87346","0.0-5.0-0.0-0.0","","12522","","","49","","","","","",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","6","88107","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","7","95123","0.0-5.0-2.0","","7012","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$32<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$9","$32","1","9","32","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","8","95386","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$32<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$9<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$9","$32","1","9","32",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","9","95899","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","10","99755","0.0-5.0-2.1","","3855","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11","$26","0","11","26","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","11","100014","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$11<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11","$26","0","11","26",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","12","100516","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","13","101765","0.0-5.0-2.2","","1246","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14","$29","0","14","29","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","14","102024","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14","$29","0","14","29",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","15","102540","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","16","103907","0.0-5.0-2.3","","1364","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$47<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27","$47","0","27","47","SURE"
