"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","1","0.0-0.0","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","","","","","","","","","","","",""
"","","","","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","focus","1","74876","focusevent","","","","","","","","","","",""
"instructions","1","76066","0.0-1.0","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","","[{""page_index"":0,""viewing_time"":76064}]","76064","","","","","","","","",""
"","","","","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","fullscreenenter","2","77549","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","78541","0.0-2.0","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","","","","true","","","","","","","",""
"instructions","3","92985","0.0-4.0","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","","[{""page_index"":0,""viewing_time"":9940},{""page_index"":1,""viewing_time"":3487},{""page_index"":2,""viewing_time"":1016}]","14443","","","","","","","","",""
"html-keyboard-response","4","93494","0.0-5.0-1.0","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","95916","0.0-5.0-2.0","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","offer","","2421","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$11<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$4","$11","0","4","11","SURE"
"html-keyboard-response","6","96174","0.0-5.0-3.0","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","offer","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$4<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$11<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$4","$11","0","4","11",""
"html-keyboard-response","7","96678","0.0-5.0-1.1","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","98683","0.0-5.0-2.1","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","offer","","2005","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$68<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$30","$68","1","30","68","RISKY"
"html-keyboard-response","9","98941","0.0-5.0-3.1","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","offer","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$68<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$30","$68","1","30","68",""
"html-keyboard-response","10","99445","0.0-5.0-1.2","sconelab2","bdp_rd","Mon Feb 20 2023 13:23:37 GMT-0500 (Eastern Standard Time)","235575","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
