"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","","","","","","","","","","","","","","",""
"","","","","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","pavlovia","0","2","0.0-0.0","","","","","","","","","","",""
"","","","","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","instructions","1","1646","0.0-1.0","[{""page_index"":0,""viewing_time"":1643}]","1643","","","","","","","","",""
"fullscreenexit","2","4405","fullscreenexit","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","","","","","","","","","","","","","","",""
"","","","","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","fullscreen","2","5193","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","image-keyboard-response","3","95547","0.0-3.0-0.0","","90351","","","32","","","","","",""
"","","","","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","instructions","4","109773","0.0-4.0","[{""page_index"":0,""viewing_time"":5365},{""page_index"":1,""viewing_time"":7301},{""page_index"":2,""viewing_time"":1296}]","13962","","","","","","","","",""
"","","","FIX","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","html-keyboard-response","5","110284","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","html-keyboard-response","6","114060","0.0-5.0-2.0","","3775","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$89<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28","$89","1","28","89","SURE"
"","","","offerFB","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","html-keyboard-response","7","114326","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$89<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28","$89","1","28","89",""
"","","","FIX","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","html-keyboard-response","8","114841","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e55e83cc65ccb5ed547cb04","bdp_rd","Tue Mar 28 2023 21:40:27 GMT-0700 (Pacific Daylight Time)","194120","html-keyboard-response","9","115594","0.0-5.0-2.1","","753","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$45","$86","1","45","86","SURE"
