"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","8","0.0-0.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","","","","","","","","","","","","",""
"","","","","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","blur","1","5622","blurevent","1","","","","","","","","","","",""
"","","","","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","focus","1","7339","focusevent","","","","","","","","","","","",""
"instructions","1","8154","0.0-1.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","","","[{""page_index"":0,""viewing_time"":8143}]","8143","","","","","","","","",""
"","","","","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","fullscreenenter","2","9296","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","10240","0.0-2.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","","","","","true","","","","","","","",""
"instructions","3","20678","0.0-4.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","","","[{""page_index"":0,""viewing_time"":7861},{""page_index"":1,""viewing_time"":1070},{""page_index"":2,""viewing_time"":1503}]","10435","","","","","","","","",""
"image-keyboard-response","4","40591","0.0-5.0-0.0-0.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","blurwarn","1","","19908","","","49","","","","","",""
"html-keyboard-response","5","41345","0.0-5.0-1.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","6","45012","0.0-5.0-2.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","offer","","","3663","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$14<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$4","$14","0","4","14","SURE"
"html-keyboard-response","7","45267","0.0-5.0-3.0","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$4<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$14<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$4","$14","0","4","14",""
"html-keyboard-response","8","45770","0.0-5.0-1.1","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","9","48639","0.0-5.0-2.1","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","offer","","","2867","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$95<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40","$95","1","40","95","RISKY"
"html-keyboard-response","10","48893","0.0-5.0-3.1","63dafeda84d9a5e684adb6be","bdp_rd","Sat Mar 25 2023 20:41:18 GMT-0400 (Eastern Daylight Time)","177440","","","","offerFB","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$95<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40","$95","1","40","95",""
