"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","","","","","","","","","","","","","","","","",""
"instructions","1","4001","0.0-1.0","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","[{""page_index"":0,""viewing_time"":3998}]","3998","","","","","","","","","","","","","","","",""
"","","","","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","","blur","2","32945","blurevent","1","","","","","","","","","","",""
"","","","","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","","focus","2","34183","focusevent","","","","","","","","","","","",""
"","","","","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","","fullscreenenter","2","34999","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","35992","0.0-2.0","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","","","","","","","true","","","","","","","","","",""
"instructions","3","41931","0.0-4.0","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","[{""page_index"":0,""viewing_time"":5937}]","5938","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","51976","0.0-5.0-0.0-0.0","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","10044","","","","blurwarn","1","","","49","","","","","","","",""
"image-keyboard-response","5","53459","0.0-5.0-1.0","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","1228","","","","choice","","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"animation","6","54064","0.0-5.0-2.0","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","","","","","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":55},{""stimulus"":""img/red_lw/2.jpg"",""time"":100},{""stimulus"":""img/red_lw/3.jpg"",""time"":172},{""stimulus"":""img/red_lw/4.jpg"",""time"":201},{""stimulus"":""img/red_lw/5.jpg"",""time"":271},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":371},{""stimulus"":""img/red_lw/8.jpg"",""time"":402},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":500},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","7","55045","0.0-5.0-1.1","5c5f525806006e0001db95d2","bdp_lott","Sun Apr 02 2023 18:44:39 GMT-0400 (Eastern Daylight Time)","492174","red","green","","980","","","","choice","","","img/red_lw/choose11.jpg","2","224","red","0.5","0.5","0.5","w","",""
