"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","","","","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","pavlovia","0","15","0.0-0.0","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","instructions","1","5310","0.0-1.0","[{""page_index"":0,""viewing_time"":5295}]","5295","","","","","","","","","","",""
"fullscreenexit","2","12814","fullscreenexit","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","","","","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","fullscreen","2","13515","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","image-keyboard-response","3","19171","0.0-3.0-0.0","","5652","","","32","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","instructions","4","52863","0.0-4.0","[{""page_index"":0,""viewing_time"":33432}]","33432","","","","","","","","","","",""
"","","","choice","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","image-keyboard-response","5","56199","0.0-5.0-1.0","","3334","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","animation","6","56955","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":64},{""stimulus"":""img/green_wl/2.jpg"",""time"":126},{""stimulus"":""img/green_wl/3.jpg"",""time"":189},{""stimulus"":""img/green_wl/4.jpg"",""time"":252},{""stimulus"":""img/green_wl/5.jpg"",""time"":315},{""stimulus"":""img/green_wl/6.jpg"",""time"":377},{""stimulus"":""img/green_wl/7.jpg"",""time"":441},{""stimulus"":""img/green_wl/8.jpg"",""time"":504},{""stimulus"":""img/green_wl/9.jpg"",""time"":567},{""stimulus"":""img/green_wl/10.jpg"",""time"":629},{""stimulus"":""img/green_wl/11.jpg"",""time"":693}]","[]"
"","","","choice","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","image-keyboard-response","7","59600","0.0-5.0-1.1","","2645","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","animation","8","60357","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":63},{""stimulus"":""img/green_wl/2.jpg"",""time"":127},{""stimulus"":""img/green_wl/3.jpg"",""time"":189},{""stimulus"":""img/green_wl/4.jpg"",""time"":250},{""stimulus"":""img/green_wl/5.jpg"",""time"":313},{""stimulus"":""img/green_wl/6.jpg"",""time"":377},{""stimulus"":""img/green_wl/7.jpg"",""time"":439},{""stimulus"":""img/green_wl/8.jpg"",""time"":503},{""stimulus"":""img/green_wl/9.jpg"",""time"":566},{""stimulus"":""img/green_wl/10.jpg"",""time"":630},{""stimulus"":""img/green_wl/11.jpg"",""time"":694}]","[]"
"","","","choice","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","image-keyboard-response","9","61699","0.0-5.0-1.2","","1342","","img/green_wl/choose11.jpg","1","223","green","0.5","0.5","0.5","l","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","animation","10","62448","0.0-5.0-2.2","","","","","","223","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":53},{""stimulus"":""img/green_ll/2.jpg"",""time"":117},{""stimulus"":""img/green_ll/3.jpg"",""time"":179},{""stimulus"":""img/green_ll/4.jpg"",""time"":242},{""stimulus"":""img/green_ll/5.jpg"",""time"":304},{""stimulus"":""img/green_ll/6.jpg"",""time"":368},{""stimulus"":""img/green_ll/7.jpg"",""time"":432},{""stimulus"":""img/green_ll/8.jpg"",""time"":495},{""stimulus"":""img/green_ll/9.jpg"",""time"":558},{""stimulus"":""img/green_ll/10.jpg"",""time"":621},{""stimulus"":""img/green_ll/11.jpg"",""time"":685}]","[]"
"","","","choice","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","image-keyboard-response","11","63881","0.0-5.0-1.3","","1433","","img/green_ll/choose11.jpg","1","222","green","0.5","0.5","0.5","l","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","animation","12","64633","0.0-5.0-2.3","","","","","","222","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":62},{""stimulus"":""img/green_ll/2.jpg"",""time"":125},{""stimulus"":""img/green_ll/3.jpg"",""time"":189},{""stimulus"":""img/green_ll/4.jpg"",""time"":252},{""stimulus"":""img/green_ll/5.jpg"",""time"":313},{""stimulus"":""img/green_ll/6.jpg"",""time"":377},{""stimulus"":""img/green_ll/7.jpg"",""time"":439},{""stimulus"":""img/green_ll/8.jpg"",""time"":501},{""stimulus"":""img/green_ll/9.jpg"",""time"":563},{""stimulus"":""img/green_ll/10.jpg"",""time"":626},{""stimulus"":""img/green_ll/11.jpg"",""time"":689}]","[]"
"","","","choice","5bbc4bd1f83ac60001fe665e","bdp_lott","Sat Mar 25 2023 18:40:19 GMT-0700 (Pacific Daylight Time)","337387","green","red","image-keyboard-response","13","66059","0.0-5.0-1.4","","1425","","img/green_ll/choose11.jpg","1","221","green","0.5","0.5","0.5","l","",""
