"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","","","","","","","","","","","","","","","","","",""
"","","","","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","",""
"","","","","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","instructions","1","3690","0.0-1.0","[{""page_index"":0,""viewing_time"":3688}]","3688","","","","","","","","","","","",""
"blur","2","6847","blurevent","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","","","","","","","1","","","","","","","","","","",""
"focus","2","7881","focusevent","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","","","","","","","","","","","","","","","","","",""
"fullscreenenter","2","8003","fullscreenenter","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","","","","","","","","","","","","","","","","","",""
"","","","","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","fullscreen","2","8987","0.0-2.0","","","","true","","","","","","","","","",""
"","","","","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","instructions","3","22260","0.0-4.0","[{""page_index"":0,""viewing_time"":13272}]","13272","","","","","","","","","","","",""
"","","","blurwarn","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","image-keyboard-response","4","27016","0.0-5.0-0.0-0.0","","4754","1","","","49","","","","","","","",""
"","","","choice","62f6bc18e456bdf4bc90dd7b","bdp_lott","Thu Mar 30 2023 15:08:06 GMT-0400 (Eastern Daylight Time)","257258","red","green","image-keyboard-response","5","28225","0.0-5.0-1.0","","945","","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","",""
