"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses","numBlurs"
"pavlovia","0","2","0.0-0.0","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","","","","","","","","",""
"instructions","1","9173","0.0-1.0","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","[{""page_index"":0,""viewing_time"":9171}]","9171","","","","","","","","","","","","","","","",""
"","","","","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","fullscreenenter","2","13052","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","14041","0.0-2.0","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","true","","","","","","","","","","",""
"instructions","3","46244","0.0-4.0","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","[{""page_index"":0,""viewing_time"":32200}]","32200","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","46875","0.0-5.0-1.0","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","630","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","","",""
"animation","5","47481","0.0-5.0-2.0","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":56},{""stimulus"":""img/green_ll/2.jpg"",""time"":103},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":214},{""stimulus"":""img/green_ll/5.jpg"",""time"":252},{""stimulus"":""img/green_ll/6.jpg"",""time"":302},{""stimulus"":""img/green_ll/7.jpg"",""time"":352},{""stimulus"":""img/green_ll/8.jpg"",""time"":402},{""stimulus"":""img/green_ll/9.jpg"",""time"":452},{""stimulus"":""img/green_ll/10.jpg"",""time"":501},{""stimulus"":""img/green_ll/11.jpg"",""time"":550}]","[]",""
"image-keyboard-response","6","48931","0.0-5.0-1.1","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","1449","","","","choice","","img/green_ll/choose11.jpg","2","224","red","0.5","0.5","0.5","l","","",""
"animation","7","49534","0.0-5.0-2.1","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":165},{""stimulus"":""img/red_ll/4.jpg"",""time"":201},{""stimulus"":""img/red_ll/5.jpg"",""time"":259},{""stimulus"":""img/red_ll/6.jpg"",""time"":301},{""stimulus"":""img/red_ll/7.jpg"",""time"":351},{""stimulus"":""img/red_ll/8.jpg"",""time"":401},{""stimulus"":""img/red_ll/9.jpg"",""time"":451},{""stimulus"":""img/red_ll/10.jpg"",""time"":509},{""stimulus"":""img/red_ll/11.jpg"",""time"":551}]","[]",""
"image-keyboard-response","8","50483","0.0-5.0-1.2","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","948","","","","choice","","img/red_ll/choose11.jpg","2","223","red","0.5","0.5","0.5","w","","",""
"animation","9","51084","0.0-5.0-2.2","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","223","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":104},{""stimulus"":""img/red_lw/3.jpg"",""time"":157},{""stimulus"":""img/red_lw/4.jpg"",""time"":205},{""stimulus"":""img/red_lw/5.jpg"",""time"":253},{""stimulus"":""img/red_lw/6.jpg"",""time"":300},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":412},{""stimulus"":""img/red_lw/9.jpg"",""time"":459},{""stimulus"":""img/red_lw/10.jpg"",""time"":507},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]",""
"image-keyboard-response","10","52434","0.0-5.0-1.3","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","1350","","","","choice","","img/red_lw/choose11.jpg","2","222","red","0.5","0.5","0.5","w","","",""
"animation","11","53047","0.0-5.0-2.3","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","222","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":105},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":201},{""stimulus"":""img/red_lw/5.jpg"",""time"":263},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":350},{""stimulus"":""img/red_lw/8.jpg"",""time"":400},{""stimulus"":""img/red_lw/9.jpg"",""time"":454},{""stimulus"":""img/red_lw/10.jpg"",""time"":501},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]",""
"image-keyboard-response","12","54082","0.0-5.0-1.4","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","1035","","","","choice","","img/red_lw/choose11.jpg","2","221","red","0.5","0.5","0.5","w","","",""
"animation","13","54683","0.0-5.0-2.4","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","221","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":57},{""stimulus"":""img/red_lw/2.jpg"",""time"":104},{""stimulus"":""img/red_lw/3.jpg"",""time"":167},{""stimulus"":""img/red_lw/4.jpg"",""time"":213},{""stimulus"":""img/red_lw/5.jpg"",""time"":261},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":353},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":463},{""stimulus"":""img/red_lw/10.jpg"",""time"":510},{""stimulus"":""img/red_lw/11.jpg"",""time"":557}]","[]",""
"image-keyboard-response","14","55906","0.0-5.0-1.5","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","1223","","","","choice","","img/red_lw/choose11.jpg","2","220","red","0.5","0.5","0.5","l","","",""
"animation","15","56519","0.0-5.0-2.5","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","220","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":50},{""stimulus"":""img/red_ll/2.jpg"",""time"":100},{""stimulus"":""img/red_ll/3.jpg"",""time"":154},{""stimulus"":""img/red_ll/4.jpg"",""time"":200},{""stimulus"":""img/red_ll/5.jpg"",""time"":264},{""stimulus"":""img/red_ll/6.jpg"",""time"":312},{""stimulus"":""img/red_ll/7.jpg"",""time"":359},{""stimulus"":""img/red_ll/8.jpg"",""time"":400},{""stimulus"":""img/red_ll/9.jpg"",""time"":450},{""stimulus"":""img/red_ll/10.jpg"",""time"":501},{""stimulus"":""img/red_ll/11.jpg"",""time"":564}]","[]",""
"image-keyboard-response","16","57571","0.0-5.0-1.6","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","1051","","","","choice","","img/red_ll/choose11.jpg","1","219","green","0.5","0.5","0.5","l","","",""
"animation","17","58175","0.0-5.0-2.6","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","219","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":115},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":304},{""stimulus"":""img/green_ll/7.jpg"",""time"":350},{""stimulus"":""img/green_ll/8.jpg"",""time"":415},{""stimulus"":""img/green_ll/9.jpg"",""time"":450},{""stimulus"":""img/green_ll/10.jpg"",""time"":508},{""stimulus"":""img/green_ll/11.jpg"",""time"":556}]","[]",""
"image-keyboard-response","18","59106","0.0-5.0-1.7","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","931","","","","choice","","img/green_ll/choose11.jpg","1","218","green","0.5","0.5","0.5","w","","",""
"animation","19","59707","0.0-5.0-2.7","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","218","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":66},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":159},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":316},{""stimulus"":""img/green_wl/7.jpg"",""time"":351},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":504},{""stimulus"":""img/green_wl/11.jpg"",""time"":566}]","[]",""
"image-keyboard-response","20","60786","0.0-5.0-1.8","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","1079","","","","choice","","img/green_wl/choose11.jpg","1","217","green","0.5","0.5","0.5","w","","",""
"animation","21","61387","0.0-5.0-2.8","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","217","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":53},{""stimulus"":""img/green_wl/2.jpg"",""time"":100},{""stimulus"":""img/green_wl/3.jpg"",""time"":165},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":300},{""stimulus"":""img/green_wl/7.jpg"",""time"":352},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":450},{""stimulus"":""img/green_wl/10.jpg"",""time"":513},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]",""
"image-keyboard-response","22","62266","0.0-5.0-1.9","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","879","","","","choice","","img/green_wl/choose11.jpg","1","216","green","0.5","0.5","0.5","w","","",""
"animation","23","62866","0.0-5.0-2.9","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","216","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":56},{""stimulus"":""img/green_wl/2.jpg"",""time"":112},{""stimulus"":""img/green_wl/3.jpg"",""time"":158},{""stimulus"":""img/green_wl/4.jpg"",""time"":206},{""stimulus"":""img/green_wl/5.jpg"",""time"":253},{""stimulus"":""img/green_wl/6.jpg"",""time"":301},{""stimulus"":""img/green_wl/7.jpg"",""time"":351},{""stimulus"":""img/green_wl/8.jpg"",""time"":412},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":507},{""stimulus"":""img/green_wl/11.jpg"",""time"":554}]","[]",""
"image-keyboard-response","24","63722","0.0-5.0-1.10","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","855","","","","choice","","img/green_wl/choose11.jpg","2","215","red","0.5","0.5","0.5","l","","",""
"animation","25","64322","0.0-5.0-2.10","5b184f9768a5ed0001734190","bdp_lott","Mon Mar 27 2023 00:37:12 GMT-0700 (Pacific Daylight Time)","576229","green","red","","","","","","","","","","215","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":50},{""stimulus"":""img/red_wl/2.jpg"",""time"":112},{""stimulus"":""img/red_wl/3.jpg"",""time"":151},{""stimulus"":""img/red_wl/4.jpg"",""time"":202},{""stimulus"":""img/red_wl/5.jpg"",""time"":251},{""stimulus"":""img/red_wl/6.jpg"",""time"":316},{""stimulus"":""img/red_wl/7.jpg"",""time"":352},{""stimulus"":""img/red_wl/8.jpg"",""time"":401},{""stimulus"":""img/red_wl/9.jpg"",""time"":456},{""stimulus"":""img/red_wl/10.jpg"",""time"":502},{""stimulus"":""img/red_wl/11.jpg"",""time"":551}]","[]",""
