"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","9","0.0-0.0","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","","","","","","","","","","","","","",""
"","","","","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","focus","1","1499","focusevent","","","","","","","","","","","","",""
"instructions","1","6048","0.0-1.0","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","","[{""page_index"":0,""viewing_time"":6037}]","6038","","","","","","","","","","",""
"","","","","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","fullscreenenter","2","11627","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","12607","0.0-2.0","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","","","","true","","","","","","","","","",""
"instructions","3","193044","0.0-4.0","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","","[{""page_index"":0,""viewing_time"":180432}]","180432","","","","","","","","","","",""
"image-keyboard-response","4","198410","0.0-5.0-1.0","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","choice","","5355","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","199015","0.0-5.0-2.0","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":60},{""stimulus"":""img/green_wl/2.jpg"",""time"":107},{""stimulus"":""img/green_wl/3.jpg"",""time"":156},{""stimulus"":""img/green_wl/4.jpg"",""time"":204},{""stimulus"":""img/green_wl/5.jpg"",""time"":260},{""stimulus"":""img/green_wl/6.jpg"",""time"":307},{""stimulus"":""img/green_wl/7.jpg"",""time"":355},{""stimulus"":""img/green_wl/8.jpg"",""time"":403},{""stimulus"":""img/green_wl/9.jpg"",""time"":459},{""stimulus"":""img/green_wl/10.jpg"",""time"":507},{""stimulus"":""img/green_wl/11.jpg"",""time"":555}]","[]"
"image-keyboard-response","6","201419","0.0-5.0-1.1","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","choice","","2400","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","202022","0.0-5.0-2.1","5e223f4219295951f846dd16","bdp_lott","Sat Mar 25 2023 19:43:27 GMT-0400 (Eastern Daylight Time)","504832","red","green","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":58},{""stimulus"":""img/green_wl/2.jpg"",""time"":105},{""stimulus"":""img/green_wl/3.jpg"",""time"":153},{""stimulus"":""img/green_wl/4.jpg"",""time"":202},{""stimulus"":""img/green_wl/5.jpg"",""time"":258},{""stimulus"":""img/green_wl/6.jpg"",""time"":306},{""stimulus"":""img/green_wl/7.jpg"",""time"":354},{""stimulus"":""img/green_wl/8.jpg"",""time"":402},{""stimulus"":""img/green_wl/9.jpg"",""time"":458},{""stimulus"":""img/green_wl/10.jpg"",""time"":506},{""stimulus"":""img/green_wl/11.jpg"",""time"":554}]","[]"
