"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"blur","0","0","blurevent","1","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","","","","","","","","","","","","","","","","",""
"","","","","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","",""
"focus","1","4254","focusevent","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","","","","","","","","","","","","","","","","",""
"","","","","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","instructions","1","105951","0.0-1.0","[{""page_index"":0,""viewing_time"":105948}]","105948","","","","","","","","","","",""
"fullscreenenter","2","143555","fullscreenenter","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","","","","","","","","","","","","","","","","",""
"","","","","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","fullscreen","2","144545","0.0-2.0","","","true","","","","","","","","","",""
"","","","","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","instructions","3","165641","0.0-4.0","[{""page_index"":0,""viewing_time"":21094}]","21094","","","","","","","","","","",""
"","","","blurwarn","1","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","image-keyboard-response","4","181242","0.0-5.0-0.0-0.0","","15599","","","49","","","","","","","",""
"","","","choice","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","image-keyboard-response","5","183055","0.0-5.0-1.0","","1560","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","l","",""
"","","","","","63d69e4d6648b39324fdf0ad","bdp_lott","Mon Mar 27 2023 10:09:39 GMT-0400 (Eastern Daylight Time)","412362","green","red","animation","6","183671","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":56},{""stimulus"":""img/red_ll/2.jpg"",""time"":117},{""stimulus"":""img/red_ll/3.jpg"",""time"":151},{""stimulus"":""img/red_ll/4.jpg"",""time"":201},{""stimulus"":""img/red_ll/5.jpg"",""time"":251},{""stimulus"":""img/red_ll/6.jpg"",""time"":301},{""stimulus"":""img/red_ll/7.jpg"",""time"":350},{""stimulus"":""img/red_ll/8.jpg"",""time"":401},{""stimulus"":""img/red_ll/9.jpg"",""time"":451},{""stimulus"":""img/red_ll/10.jpg"",""time"":515},{""stimulus"":""img/red_ll/11.jpg"",""time"":565}]","[]"
