"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses","numBlurs"
"pavlovia","0","3","0.0-0.0","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","","","","","","","","","","","","","","","","",""
"instructions","1","2833","0.0-1.0","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","[{""page_index"":0,""viewing_time"":2830}]","2830","","","","","","","","","","","","","","","",""
"","","","","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","","fullscreenenter","2","5677","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","6681","0.0-2.0","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","","","","","","true","","","","","","","","","","",""
"instructions","3","44754","0.0-4.0","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","[{""page_index"":0,""viewing_time"":38072}]","38072","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","47553","0.0-5.0-1.0","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","2795","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","","",""
"animation","5","48155","0.0-5.0-2.0","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":301},{""stimulus"":""img/green_wl/7.jpg"",""time"":352},{""stimulus"":""img/green_wl/8.jpg"",""time"":403},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]",""
"image-keyboard-response","6","49664","0.0-5.0-1.1","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","1508","","","","choice","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","l","","",""
"animation","7","50265","0.0-5.0-2.1","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":252},{""stimulus"":""img/green_ll/6.jpg"",""time"":302},{""stimulus"":""img/green_ll/7.jpg"",""time"":351},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":451},{""stimulus"":""img/green_ll/10.jpg"",""time"":501},{""stimulus"":""img/green_ll/11.jpg"",""time"":552}]","[]",""
"image-keyboard-response","8","51488","0.0-5.0-1.2","60fd738c235e974993ad455c","bdp_lott","Tue Mar 28 2023 16:28:32 GMT-0500 (Central Daylight Time)","281170","red","green","","1222","","","","choice","","img/green_ll/choose11.jpg","1","223","green","0.5","0.5","0.5","l","","",""
