"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","","","","","","","","","","","","","","","","",""
"","","","","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","",""
"","","","","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","instructions","1","1433","0.0-1.0","[{""page_index"":0,""viewing_time"":1426}]","1426","","","","","","","","","","",""
"fullscreenenter","2","3085","fullscreenenter","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","","","","","","","","","","","","","","","","",""
"","","","","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","fullscreen","2","4054","0.0-2.0","","","true","","","","","","","","","",""
"","","","","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","instructions","3","19247","0.0-4.0","[{""page_index"":0,""viewing_time"":15191}]","15192","","","","","","","","","","",""
"","","","choice","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","image-keyboard-response","4","27184","0.0-5.0-1.0","","7935","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","",""
"","","","","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","animation","5","27786","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":61},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":152},{""stimulus"":""img/green_ll/4.jpg"",""time"":213},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":328},{""stimulus"":""img/green_ll/7.jpg"",""time"":351},{""stimulus"":""img/green_ll/8.jpg"",""time"":411},{""stimulus"":""img/green_ll/9.jpg"",""time"":459},{""stimulus"":""img/green_ll/10.jpg"",""time"":502},{""stimulus"":""img/green_ll/11.jpg"",""time"":562}]","[]"
"","","","choice","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","image-keyboard-response","6","29342","0.0-5.0-1.1","","1555","","img/green_ll/choose11.jpg","2","224","red","0.5","0.5","0.5","l","",""
"","","","","5f19fbbb7767270c32464eb5","bdp_lott","Sun Mar 26 2023 11:50:31 GMT-0400 (Eastern Daylight Time)","260342","green","red","animation","7","29963","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":53},{""stimulus"":""img/red_ll/2.jpg"",""time"":104},{""stimulus"":""img/red_ll/3.jpg"",""time"":150},{""stimulus"":""img/red_ll/4.jpg"",""time"":201},{""stimulus"":""img/red_ll/5.jpg"",""time"":254},{""stimulus"":""img/red_ll/6.jpg"",""time"":303},{""stimulus"":""img/red_ll/7.jpg"",""time"":353},{""stimulus"":""img/red_ll/8.jpg"",""time"":404},{""stimulus"":""img/red_ll/9.jpg"",""time"":454},{""stimulus"":""img/red_ll/10.jpg"",""time"":504},{""stimulus"":""img/red_ll/11.jpg"",""time"":553}]","[]"
