"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","","","","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","focus","1","2726","focusevent","","","","","","","","","","","","",""
"instructions","1","7485","0.0-1.0","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","","[{""page_index"":0,""viewing_time"":7482}]","7482","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","fullscreenenter","2","9172","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","10161","0.0-2.0","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","31772","0.0-4.0","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","","[{""page_index"":0,""viewing_time"":21610}]","21610","","","","","","","","","","",""
"image-keyboard-response","4","33652","0.0-5.0-1.0","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","choice","","1878","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","34253","0.0-5.0-2.0","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":301},{""stimulus"":""img/green_wl/7.jpg"",""time"":351},{""stimulus"":""img/green_wl/8.jpg"",""time"":402},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":518},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","6","35764","0.0-5.0-1.1","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","choice","","1509","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","36364","0.0-5.0-2.1","571144323d47e800096358d9","bdp_lott","Sun Mar 26 2023 14:46:14 GMT-0400 (Eastern Daylight Time)","213336","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":55},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":164},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":300},{""stimulus"":""img/green_wl/7.jpg"",""time"":351},{""stimulus"":""img/green_wl/8.jpg"",""time"":400},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":550}]","[]"
