"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","pavlovia","0","13","0.0-0.0","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","instructions","1","4964","0.0-1.0","[{""page_index"":0,""viewing_time"":4950}]","4951","","","","","","","","","","","",""
"blur","2","6382","blurevent","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","","","","","","","1","","","","","","","","","","",""
"focus","2","6400","focusevent","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","6462","fullscreenexit","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","fullscreen","2","7175","0.0-2.0","","","","true","","","","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","3","7957","0.0-3.0-0.0","","778","","","","32","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","instructions","4","16886","0.0-4.0","[{""page_index"":0,""viewing_time"":8673}]","8673","","","","","","","","","","","",""
"","","","blurwarn","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","5","19004","0.0-5.0-0.0-0.0","","2117","1","","","49","","","","","","","",""
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","6","20522","0.0-5.0-1.0","","1258","","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","animation","7","21177","0.0-5.0-2.0","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":59},{""stimulus"":""img/green_wl/2.jpg"",""time"":112},{""stimulus"":""img/green_wl/3.jpg"",""time"":166},{""stimulus"":""img/green_wl/4.jpg"",""time"":222},{""stimulus"":""img/green_wl/5.jpg"",""time"":277},{""stimulus"":""img/green_wl/6.jpg"",""time"":331},{""stimulus"":""img/green_wl/7.jpg"",""time"":386},{""stimulus"":""img/green_wl/8.jpg"",""time"":440},{""stimulus"":""img/green_wl/9.jpg"",""time"":495},{""stimulus"":""img/green_wl/10.jpg"",""time"":549},{""stimulus"":""img/green_wl/11.jpg"",""time"":603}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","8","23950","0.0-5.0-1.1","","2772","","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","l","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","animation","9","24604","0.0-5.0-2.1","","","","","","","224","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":56},{""stimulus"":""img/green_ll/2.jpg"",""time"":108},{""stimulus"":""img/green_ll/3.jpg"",""time"":163},{""stimulus"":""img/green_ll/4.jpg"",""time"":218},{""stimulus"":""img/green_ll/5.jpg"",""time"":271},{""stimulus"":""img/green_ll/6.jpg"",""time"":325},{""stimulus"":""img/green_ll/7.jpg"",""time"":379},{""stimulus"":""img/green_ll/8.jpg"",""time"":435},{""stimulus"":""img/green_ll/9.jpg"",""time"":488},{""stimulus"":""img/green_ll/10.jpg"",""time"":543},{""stimulus"":""img/green_ll/11.jpg"",""time"":598}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","10","25885","0.0-5.0-1.2","","1279","","","img/green_ll/choose11.jpg","2","223","red","0.5","0.5","0.5","w","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","animation","11","26533","0.0-5.0-2.2","","","","","","","223","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":54},{""stimulus"":""img/red_lw/2.jpg"",""time"":108},{""stimulus"":""img/red_lw/3.jpg"",""time"":164},{""stimulus"":""img/red_lw/4.jpg"",""time"":217},{""stimulus"":""img/red_lw/5.jpg"",""time"":267},{""stimulus"":""img/red_lw/6.jpg"",""time"":321},{""stimulus"":""img/red_lw/7.jpg"",""time"":377},{""stimulus"":""img/red_lw/8.jpg"",""time"":431},{""stimulus"":""img/red_lw/9.jpg"",""time"":485},{""stimulus"":""img/red_lw/10.jpg"",""time"":538},{""stimulus"":""img/red_lw/11.jpg"",""time"":593}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","12","28025","0.0-5.0-1.3","","1487","","","img/red_lw/choose11.jpg","2","222","red","0.5","0.5","0.5","w","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","animation","13","28667","0.0-5.0-2.3","","","","","","","222","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":108},{""stimulus"":""img/red_lw/3.jpg"",""time"":161},{""stimulus"":""img/red_lw/4.jpg"",""time"":214},{""stimulus"":""img/red_lw/5.jpg"",""time"":267},{""stimulus"":""img/red_lw/6.jpg"",""time"":319},{""stimulus"":""img/red_lw/7.jpg"",""time"":374},{""stimulus"":""img/red_lw/8.jpg"",""time"":427},{""stimulus"":""img/red_lw/9.jpg"",""time"":480},{""stimulus"":""img/red_lw/10.jpg"",""time"":532},{""stimulus"":""img/red_lw/11.jpg"",""time"":585}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","14","29845","0.0-5.0-1.4","","1178","","","img/red_lw/choose11.jpg","2","221","red","0.5","0.5","0.5","l","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","animation","15","30489","0.0-5.0-2.4","","","","","","","221","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":55},{""stimulus"":""img/red_ll/2.jpg"",""time"":109},{""stimulus"":""img/red_ll/3.jpg"",""time"":163},{""stimulus"":""img/red_ll/4.jpg"",""time"":215},{""stimulus"":""img/red_ll/5.jpg"",""time"":271},{""stimulus"":""img/red_ll/6.jpg"",""time"":327},{""stimulus"":""img/red_ll/7.jpg"",""time"":379},{""stimulus"":""img/red_ll/8.jpg"",""time"":430},{""stimulus"":""img/red_ll/9.jpg"",""time"":484},{""stimulus"":""img/red_ll/10.jpg"",""time"":537},{""stimulus"":""img/red_ll/11.jpg"",""time"":589}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","16","31129","0.0-5.0-1.5","","637","","","img/red_ll/choose11.jpg","1","220","green","0.5","0.5","0.5","w","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","animation","17","31773","0.0-5.0-2.5","","","","","","","220","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":103},{""stimulus"":""img/green_wl/3.jpg"",""time"":158},{""stimulus"":""img/green_wl/4.jpg"",""time"":211},{""stimulus"":""img/green_wl/5.jpg"",""time"":267},{""stimulus"":""img/green_wl/6.jpg"",""time"":320},{""stimulus"":""img/green_wl/7.jpg"",""time"":374},{""stimulus"":""img/green_wl/8.jpg"",""time"":431},{""stimulus"":""img/green_wl/9.jpg"",""time"":484},{""stimulus"":""img/green_wl/10.jpg"",""time"":535},{""stimulus"":""img/green_wl/11.jpg"",""time"":589}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","18","32458","0.0-5.0-1.6","","682","","","img/green_wl/choose11.jpg","1","219","green","0.5","0.5","0.5","w","",""
"","","","","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","animation","19","33104","0.0-5.0-2.6","","","","","","","219","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":55},{""stimulus"":""img/green_wl/2.jpg"",""time"":106},{""stimulus"":""img/green_wl/3.jpg"",""time"":160},{""stimulus"":""img/green_wl/4.jpg"",""time"":212},{""stimulus"":""img/green_wl/5.jpg"",""time"":265},{""stimulus"":""img/green_wl/6.jpg"",""time"":319},{""stimulus"":""img/green_wl/7.jpg"",""time"":373},{""stimulus"":""img/green_wl/8.jpg"",""time"":428},{""stimulus"":""img/green_wl/9.jpg"",""time"":483},{""stimulus"":""img/green_wl/10.jpg"",""time"":536},{""stimulus"":""img/green_wl/11.jpg"",""time"":592}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_lott","Sun Mar 26 2023 09:14:37 GMT-0700 (Pacific Daylight Time)","307377","red","green","image-keyboard-response","20","34044","0.0-5.0-1.7","","938","","","img/green_wl/choose11.jpg","1","218","green","0.5","0.5","0.5","w","",""
