"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses","numBlurs"
"pavlovia","0","8","0.0-0.0","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","","","","","","","","","","","","","","","","",""
"instructions","1","5079","0.0-1.0","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","[{""page_index"":0,""viewing_time"":5070}]","5070","","","","","","","","","","","","","","","",""
"","","","","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","","fullscreenenter","2","7059","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","8006","0.0-2.0","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","","","","","","true","","","","","","","","","","",""
"instructions","3","26990","0.0-4.0","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","[{""page_index"":0,""viewing_time"":18983}]","18983","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","33579","0.0-5.0-1.0","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","6586","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","","",""
"animation","5","34181","0.0-5.0-2.0","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":102},{""stimulus"":""img/green_ll/3.jpg"",""time"":152},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":301},{""stimulus"":""img/green_ll/7.jpg"",""time"":352},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":451},{""stimulus"":""img/green_ll/10.jpg"",""time"":502},{""stimulus"":""img/green_ll/11.jpg"",""time"":552}]","[]",""
"image-keyboard-response","6","34890","0.0-5.0-1.1","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","708","","","","choice","","img/green_ll/choose11.jpg","2","224","red","0.5","0.5","0.5","w","","",""
"animation","7","35490","0.0-5.0-2.1","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":202},{""stimulus"":""img/red_lw/5.jpg"",""time"":252},{""stimulus"":""img/red_lw/6.jpg"",""time"":302},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":400},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":502},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]",""
"image-keyboard-response","8","36110","0.0-5.0-1.2","63f68fcc9f84b736270f0e8e","bdp_lott","Mon Mar 27 2023 17:53:45 GMT-0500 (Central Daylight Time)","745381","green","red","","618","","","","choice","","img/red_lw/choose11.jpg","1","223","green","0.5","0.5","0.5","l","","",""
